"name","begin","length","end","BLAST","BLAST score","refseq","reverse complement","polymerase type","polymerase type support","polymerase subtype","polymerase subtype support","capsid type","capsid type support","capsid subtype","capsid subtype support"
"PZ221922.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","84.19753","NC_029646","false","GII.P21 (GII.Pb)","100.0","","","GII.3","100.0","",""
"PZ240487.1_region_4389_5205","4392","816","5208","Caliciviridae Norovirus GII","77.90123","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Sydney_2016","82.0"
"PZ136058.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","84.19753","NC_029646","false","GII.P21 (GII.Pb)","100.0","","","GII.3","100.0","",""
"PX285874.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","78.27161","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Could not assign",""
"PV784273.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","79.484024","NC_029646","false","GII.P17","100.0","","","GII.17","99.0","",""
"PV784279.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","79.238335","NC_029646","false","GII.P17","100.0","","","GII.17","97.0","",""
"PV784296.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","79.484024","NC_029646","false","GII.P17","100.0","","","GII.17","99.0","",""
"PV784302.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","79.60688","NC_029646","false","GII.P17","100.0","","","GII.17","98.0","",""
"PV784318.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","79.60688","NC_029646","false","GII.P17","100.0","","","GII.17","92.0","",""
"PV784331.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","79.11548","NC_029646","false","GII.P17","100.0","","","GII.17","95.0","",""
"PV784345.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","78.86978","NC_029646","false","GII.P17","100.0","","","GII.17","94.0","",""
"PV750882.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","79.238335","NC_029646","false","GII.P17","100.0","","","GII.17","98.0","",""
"PV765567.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","79.11548","NC_029646","false","GII.P17","100.0","","","GII.17","97.0","",""
"PV275040.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","86.419754","NC_029646","false","GII.P31 (GII.Pe)","100.0","","","GII.4","100.0","Could not assign",""
"PV275046.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","86.4365","NC_029646","false","GII.P31 (GII.Pe)","100.0","","","GII.4","100.0","Could not assign",""
"PV275062.1_region_4389_5205","4371","816","5187","Caliciviridae Norovirus GII","86.24078","NC_029646","false","GII.P4","96.0","New_Orleans_2009","98.0","GII.4","100.0","Could not assign",""
"PQ215525.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","77.77778","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Could not assign",""
"PQ215539.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","77.65432","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Could not assign",""
"PQ215542.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","77.77778","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Could not assign",""
"PQ215545.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","77.77778","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Could not assign",""
"PQ215578.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","87.03704","NC_029646","false","GII.P4","100.0","New_Orleans_2009","100.0","GII.4","100.0","Could not assign",""
"PQ273182.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","90.54054","NC_029646","false","GII.P12","100.0","","","GII.3","100.0","",""
"PQ273187.1_region_4389_5205","4395","816","5211","Caliciviridae Norovirus GII","92.52451","NC_029646","false","GII.P7","100.0","","","GII.6","99.0","",""
"PQ273195.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","80.12345","NC_029646","false","GII.P16","100.0","","","GII.2","98.0","",""
"PQ304610.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","79.484024","NC_029646","false","GII.P17","100.0","","","GII.17","93.0","",""
"PQ304633.1_region_4389_5205","4379","816","5195","Caliciviridae Norovirus GII","80.12345","NC_029646","false","GII.P17","88.0","","","GII.17","99.0","",""
"PQ310518.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","78.99263","NC_029646","false","GII.P17","100.0","","","GII.17","97.0","",""
"PQ310521.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","79.238335","NC_029646","false","GII.P17","100.0","","","GII.17","96.0","",""
"PQ373121.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","78.40491","NC_029646","false","GII.P17","100.0","","","GII.17","96.0","",""
"PQ373124.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","78.5276","NC_029646","false","GII.P17","100.0","","","GII.17","96.0","",""
"PQ373131.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","79.60688","NC_029646","false","GII.P17","100.0","","","GII.17","95.0","",""
"PQ373138.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","79.361176","NC_029646","false","GII.P17","100.0","","","GII.17","92.0","",""
"PQ373142.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","78.99263","NC_029646","false","GII.P17","100.0","","","GII.17","99.0","",""
"PQ100948.1_region_4389_5205","4395","816","5211","Caliciviridae Norovirus GII","89.57055","NC_029646","false","GII.P7","100.0","","","GII.7","100.0","",""
"PP498987.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","86.91358","NC_029646","false","GII.P31 (GII.Pe)","100.0","","","GII.4","100.0","Could not assign",""
"PP549877.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","78.888885","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Could not assign",""
"PP549880.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","78.765434","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Sydney_2016","76.0"
"PP549883.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","78.765434","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Sydney_2016","83.0"
"PP587392.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","78.65031","NC_029646","false","GII.P17","100.0","","","GII.17","93.0","",""
"PP658553.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","87.16049","NC_029646","false","GII.P31 (GII.Pe)","100.0","","","GII.4","100.0","Could not assign",""
"OR844371.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","87.28395","NC_029646","false","GII.P31 (GII.Pe)","100.0","","","GII.4","100.0","Could not assign",""
"OR844374.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","87.16049","NC_029646","false","GII.P31 (GII.Pe)","100.0","","","GII.4","100.0","Could not assign",""
"OR844377.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","87.16049","NC_029646","false","GII.P31 (GII.Pe)","100.0","","","GII.4","100.0","Could not assign",""
"OR844380.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","86.543205","NC_029646","false","GII.P31 (GII.Pe)","100.0","","","GII.4","100.0","Could not assign",""
"OR844383.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","87.03704","NC_029646","false","GII.P31 (GII.Pe)","100.0","","","GII.4","100.0","Could not assign",""
"OR262325.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","87.16049","NC_029646","false","GII.P31 (GII.Pe)","100.0","","","GII.4","100.0","Could not assign",""
"OR536468.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","84.09371","NC_029646","false","GII.P21 (GII.Pb)","100.0","","","GII.3","99.0","",""
"OR536472.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","83.600494","NC_029646","false","GII.P21 (GII.Pb)","100.0","","","GII.3","100.0","",""
"OR536476.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","83.72379","NC_029646","false","GII.P21 (GII.Pb)","100.0","","","GII.3","100.0","",""
"OR536479.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","83.8471","NC_029646","false","GII.P21 (GII.Pb)","100.0","","","GII.3","100.0","",""
"OR536482.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","83.600494","NC_029646","false","GII.P21 (GII.Pb)","100.0","","","GII.3","98.0","",""
"OR536485.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","83.97041","NC_029646","false","GII.P21 (GII.Pb)","100.0","","","GII.3","100.0","",""
"OR536488.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","84.09371","NC_029646","false","GII.P21 (GII.Pb)","100.0","","","GII.3","100.0","",""
"OR536491.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","83.97041","NC_029646","false","GII.P21 (GII.Pb)","100.0","","","GII.3","100.0","",""
"OQ940069.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","77.77778","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Sydney_2016","87.0"
"OQ940072.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","77.65432","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Sydney_2016","79.0"
"OQ940075.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","77.65432","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Sydney_2016","97.0"
"OQ940078.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","77.77778","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Sydney_2016","90.0"
"OQ940081.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","77.77778","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Sydney_2016","93.0"
"OP901693.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","91.03194","NC_029646","false","GII.P12","100.0","","","GII.3","100.0","",""
"OP686903.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","79.62963","NC_029646","false","GII.P16","100.0","","","GII.10","100.0","",""
"OP689558.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","79.87654","NC_029646","false","GII.P16","100.0","","","GII.2","100.0","",""
"OP690426.1_region_4389_5205","4395","816","5211","Caliciviridae Norovirus GII","92.76961","NC_029646","false","GII.P7","100.0","","","GII.6","100.0","",""
"OP712196.1_region_4389_5205","4395","816","5211","Caliciviridae Norovirus GII","90.79755","NC_029646","false","GII.P7","99.0","","","GII.6","100.0","",""
"OP712199.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","79.60688","NC_029646","false","GII.P17","100.0","","","GII.17","97.0","",""
"OP037978.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","77.40741","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Sydney_2016","89.0"
"OP037981.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","77.53087","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Sydney_2016","96.0"
"ON329737.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","78.02469","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Sydney_2016","83.0"
"OK376254.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","80.147964","NC_029646","false","GII.P16","100.0","","","GII.2","97.0","",""
"OK376258.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","80.147964","NC_029646","false","GII.P16","100.0","","","GII.2","100.0","",""
"OK376261.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","80.02466","NC_029646","false","GII.P16","100.0","","","GII.2","99.0","",""
"OK376264.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","80.147964","NC_029646","false","GII.P16","100.0","","","GII.2","99.0","",""
"OL898506.1_region_4389_5205","4383","816","5199","Caliciviridae Norovirus GII","84.76659","NC_029646","false","GII.P33 (GII.Pg)","100.0","","","Could not assign","","",""
"OL898509.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","86.79012","NC_029646","false","GII.P31 (GII.Pe)","100.0","","","GII.4","100.0","Could not assign",""
"OL898512.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","78.395065","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Sydney_2016","79.0"
"OL898515.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","78.51852","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Sydney_2016","90.0"
"OL913976.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","87.03704","NC_029646","false","GII.P31 (GII.Pe)","100.0","","","GII.4","100.0","Could not assign",""
"OL943800.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","86.296295","NC_029646","false","GII.P4","99.0","Den_Haag_2006b","96.0","GII.4","100.0","Could not assign",""
"NC_039477.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","78.14815","NC_029646","false","GII.P16","100.0","","","GII.4","100.0","Sydney_2016","84.0"
"MZ291631.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","78.5276","NC_029646","false","GII.P17","100.0","","","GII.17","93.0","",""
"MZ233536.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","86.79012","NC_029646","false","GII.P4","100.0","New_Orleans_2009","100.0","GII.4","100.0","Could not assign",""
"MW661253.1_region_4389_5205","4380","816","5196","Caliciviridae Norovirus GII","78.895706","NC_029646","false","GII.P17","100.0","","","GII.17","94.0","",""
"MW661271.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","81.234566","NC_029646","false","GII.P16","100.0","","","Could not assign","","",""
"MW661274.1_region_4389_5205","4395","816","5211","Caliciviridae Norovirus GII","91.65644","NC_029646","false","GII.P7","100.0","","","GII.6","100.0","",""
"MW661281.1_region_4389_5205","4389","816","5205","Caliciviridae Norovirus GII","87.28395","NC_029646","false","GII.P31 (GII.Pe)","100.0","","","GII.4","100.0","Could not assign",""
"MW243610.2_region_4389_5205","4395","816","5211","Caliciviridae Norovirus GII","93.75","NC_029646","false","GII.P7","100.0","","","GII.6","100.0","",""
"MT712147.1_region_4389_5205","4383","816","5199","Caliciviridae Norovirus GII","86.39706","NC_029646","false","GII.P33 (GII.Pg)","100.0","","","GII.12","98.0","",""
