name,begin,length,end,BLAST,BLAST score,refseq,reverse complement,polymerase type,polymerase type support,polymerase subtype,polymerase subtype support,capsid type,capsid type support,capsid subtype,capsid subtype support
PZ221915.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,84.86417,NC_029646,False,GII.P21 (GII.Pb),100.0,,,,,,
PZ234772.1_region_4389_5166,4380,777,5157,Caliciviridae Norovirus GII,78.94057,NC_029646,False,GII.P17,100.0,,,,,,
PZ240487.1_region_4389_5166,4392,777,5169,Caliciviridae Norovirus GII,78.682175,NC_029646,False,GII.P16,100.0,,,,,,
PX631121.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,78.91332,NC_029646,False,GII.P16,100.0,,,,,,
PX285872.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,79.818886,NC_029646,False,GII.P16,100.0,,,,,,
PX285874.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,78.91332,NC_029646,False,GII.P16,100.0,,,,,,
PV784272.1_region_4389_5166,4380,777,5157,Caliciviridae Norovirus GII,80.07762,NC_029646,False,GII.P17,100.0,,,,,,
PV784273.1_region_4389_5166,4380,777,5157,Caliciviridae Norovirus GII,80.07762,NC_029646,False,GII.P17,100.0,,,,,,
PV784303.1_region_4389_5166,4380,777,5157,Caliciviridae Norovirus GII,79.818886,NC_029646,False,GII.P17,100.0,,,,,,
PV635313.1_region_4389_5166,4380,777,5157,Caliciviridae Norovirus GII,78.81137,NC_029646,False,GII.P17,100.0,,,,,,
PV275040.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,87.58086,NC_029646,False,GII.P31 (GII.Pe),100.0,,,,,,
PV275046.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,87.5969,NC_029646,False,GII.P31 (GII.Pe),100.0,,,,,,
PV275062.1_region_4389_5166,4371,777,5148,Caliciviridae Norovirus GII,87.12999,NC_029646,False,GII.P4,96.0,New_Orleans_2009,99.0,,,,
PQ213436.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,87.71022,NC_029646,False,GII.P4,100.0,Den_Haag_2006b,85.0,,,,
PQ215525.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,78.52523,NC_029646,False,GII.P16,100.0,,,,,,
PQ215575.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,88.61578,NC_029646,False,GII.P4,100.0,New_Orleans_2009,100.0,,,,
PQ215578.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,88.09832,NC_029646,False,GII.P4,100.0,New_Orleans_2009,100.0,,,,
PQ218468.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,88.35705,NC_029646,False,GII.P31 (GII.Pe),100.0,,,,,,
PQ273182.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,91.50579,NC_029646,False,GII.P12,100.0,,,,,,
PQ273187.1_region_4389_5166,4395,777,5172,Caliciviridae Norovirus GII,92.53539,NC_029646,False,GII.P7,100.0,,,,,,
PQ304610.1_region_4389_5166,4380,777,5157,Caliciviridae Norovirus GII,80.0,NC_029646,False,GII.P17,100.0,,,,,,
PQ304611.1_region_4389_5166,4380,777,5157,Caliciviridae Norovirus GII,80.07762,NC_029646,False,GII.P17,100.0,,,,,,
PQ304633.1_region_4389_5166,4379,777,5156,Caliciviridae Norovirus GII,80.595085,NC_029646,False,GII.P17,92.0,,,,,,
PQ310235.1_region_4389_5166,4380,777,5157,Caliciviridae Norovirus GII,80.07762,NC_029646,False,GII.P17,100.0,,,,,,
PQ373127.1_region_4389_5166,4380,777,5157,Caliciviridae Norovirus GII,78.682175,NC_029646,False,GII.P17,100.0,,,,,,
PQ100946.1_region_4389_5166,4395,777,5172,Caliciviridae Norovirus GII,90.97938,NC_029646,False,GII.P7,100.0,,,,,,
PP549876.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,79.430786,NC_029646,False,GII.P16,100.0,,,,,,
PP658552.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,87.71022,NC_029646,False,GII.P31 (GII.Pe),100.0,,,,,,
PP658553.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,88.227684,NC_029646,False,GII.P31 (GII.Pe),100.0,,,,,,
PP381824.1_region_4389_5166,4380,777,5157,Caliciviridae Norovirus GII,78.94057,NC_029646,False,GII.P17,100.0,,,,,,
OR536466.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,84.62532,NC_029646,False,GII.P21 (GII.Pb),100.0,,,,,,
OR536469.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,83.85013,NC_029646,False,GII.P21 (GII.Pb),100.0,,,,,,
OR536475.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,84.10853,NC_029646,False,GII.P21 (GII.Pb),100.0,,,,,,
OR536476.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,84.36692,NC_029646,False,GII.P21 (GII.Pb),100.0,,,,,,
OR536477.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,84.10853,NC_029646,False,GII.P21 (GII.Pb),100.0,,,,,,
OR536481.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,84.36692,NC_029646,False,GII.P21 (GII.Pb),100.0,,,,,,
OR536485.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,84.62532,NC_029646,False,GII.P21 (GII.Pb),100.0,,,,,,
OR536491.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,84.62532,NC_029646,False,GII.P21 (GII.Pb),100.0,,,,,,
OR536492.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,84.754524,NC_029646,False,GII.P21 (GII.Pb),100.0,,,,,,
OP901692.1_region_4389_5166,4395,777,5172,Caliciviridae Norovirus GII,92.01031,NC_029646,False,GII.P7,100.0,,,,,,
OQ342793.1_region_4389_5166,4353,777,5130,Caliciviridae Norovirus GII,74.677,NC_029646,False,GII.P25,100.0,,,,,,
OP686903.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,79.56016,NC_029646,False,GII.P16,100.0,,,,,,
OP686904.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,95.1094,NC_029646,False,GII.P8,100.0,,,,,,
OP690427.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,80.85381,NC_029646,False,GII.P16,100.0,,,,,,
OP712197.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,91.89189,NC_029646,False,GII.P12,100.0,,,,,,
OK376253.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,80.33635,NC_029646,False,GII.P16,100.0,,,,,,
OL898506.1_region_4389_5166,4383,777,5160,Caliciviridae Norovirus GII,84.555984,NC_029646,False,GII.P33 (GII.Pg),100.0,,,,,,
OL898507.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,80.595085,NC_029646,False,GII.P16,100.0,,,,,,
OL898508.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,88.09832,NC_029646,False,GII.P31 (GII.Pe),100.0,,,,,,
OL898511.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,88.227684,NC_029646,False,GII.P31 (GII.Pe),100.0,,,,,,
OL898513.1_region_4389_5166,4395,777,5172,Caliciviridae Norovirus GII,90.59278,NC_029646,False,GII.P7,100.0,,,,,,
OL913975.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,92.14929,NC_029646,False,GII.P12,100.0,,,,,,
OL943799.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,86.80466,NC_029646,False,GII.P4,100.0,Den_Haag_2006b,94.0,,,,
OL943800.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,87.451485,NC_029646,False,GII.P4,100.0,Den_Haag_2006b,94.0,,,,
OL943801.1_region_4389_5166,4392,777,5169,Caliciviridae Norovirus GII,80.620155,NC_029646,False,GII.P16,100.0,,,,,,
OL943802.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,89.987,NC_029646,False,GII.P31 (GII.Pe),100.0,,,,,,
NC_044932.1_region_4389_5166,4398,777,5175,Caliciviridae Norovirus GII,75.25773,NC_029646,False,GII.PNA2,100.0,,,,,,
MZ312111.1_region_4389_5166,4395,777,5172,Caliciviridae Norovirus GII,92.23803,NC_029646,False,GII.P7,100.0,,,,,,
MZ233536.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,87.96895,NC_029646,False,GII.P4,100.0,New_Orleans_2009,100.0,,,,
MW661246.1_region_4389_5166,4392,777,5169,Caliciviridae Norovirus GII,81.00775,NC_029646,False,GII.P16,100.0,,,,,,
MW661253.1_region_4389_5166,4380,777,5157,Caliciviridae Norovirus GII,79.45737,NC_029646,False,GII.P17,100.0,,,,,,
MW661264.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,78.654594,NC_029646,False,GII.P16,100.0,,,,,,
MW661284.1_region_4389_5166,4395,777,5172,Caliciviridae Norovirus GII,93.822395,NC_029646,False,GII.P7,100.0,,,,,,
MW243610.2_region_4389_5166,4395,777,5172,Caliciviridae Norovirus GII,93.822395,NC_029646,False,GII.P7,100.0,,,,,,
MW305737.1_region_4389_5166,4395,777,5172,Caliciviridae Norovirus GII,94.079796,NC_029646,False,GII.P6,87.0,,,,,,
MT712130.1_region_4389_5166,4383,777,5160,Caliciviridae Norovirus GII,85.71429,NC_029646,False,GII.P33 (GII.Pg),100.0,,,,,,
MT712147.1_region_4389_5166,4383,777,5160,Caliciviridae Norovirus GII,85.71429,NC_029646,False,GII.P33 (GII.Pg),100.0,,,,,,
MT724793.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,81.371284,NC_029646,False,GII.P2,100.0,,,,,,
MT729788.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,87.7261,NC_029646,False,GII.P4,100.0,Could not assign,,,,,
MT731332.1_region_4389_5166,4395,777,5172,Caliciviridae Norovirus GII,90.33505,NC_029646,False,GII.P7,100.0,,,,,,
MN897755.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,79.430786,NC_029646,False,GII.P16,100.0,,,,,,
MT028542.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,89.13325,NC_029646,False,GII.P31 (GII.Pe),100.0,,,,,,
MN400355.2_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,87.451485,NC_029646,False,GII.P31 (GII.Pe),100.0,,,,,,
MN447470.1_region_4389_5166,4395,777,5172,Caliciviridae Norovirus GII,81.136955,NC_029646,False,GII.P16,100.0,,,,,,
MN453358.1_region_4389_5166,4398,777,5175,Caliciviridae Norovirus GII,75.25773,NC_029646,False,GII.P23,100.0,,,,,,
MN453359.1_region_4389_5166,4398,777,5175,Caliciviridae Norovirus GII,75.3866,NC_029646,False,GII.P24,100.0,,,,,,
MK753015.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,81.63001,NC_029646,False,GII.P2,100.0,,,,,,
MK789435.1_region_4389_5166,4389,777,5166,Caliciviridae Norovirus GII,87.06339,NC_029646,False,GII.P31 (GII.Pe),100.0,,,,,,
