Genome	Primer	Amplification	Pairing and Strand direction ((+)/(-))	Strand direction	Strand check	Mismatch	Distance	Location
PZ221915.1		none				M	D	
PZ221917.1		none				M	D	
PZ221922.1		none				M	D	
PZ221927.1		none				M	D	
PZ234772.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PZ240487.1		none				M	D	
PZ240506.1		none				M	D	
PZ136053.1		none				M	D	
PZ136058.1		none				M	D	
PX631121.1		none				M	D	
PX285872.1		none				M	D	
PX285874.1		none				M	D	
PX563327.1		none				M	D	
PV784272.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784273.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784275.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784277.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784279.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784285.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784287.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784296.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784297.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784298.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784302.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784303.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784304.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784318.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784323.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784324.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784331.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784338.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784344.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784345.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV784347.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV750877.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV750882.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV750891.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV750894.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV765567.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV765571.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV635313.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PV275040.1		none				M	D	
PV275044.1		none				M	D	
PV275045.1		none				M	D	
PV275046.1		none				M	D	
PV275052.1		none				M	D	
PV275060.1		none				M	D	
PV275062.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5433:5451:-
PQ213436.1		none				M	D	
PQ213437.1		none				M	D	
PQ215525.1		none				M	D	
PQ215528.1		none				M	D	
PQ215538.1		none				M	D	
PQ215539.1		none				M	D	
PQ215540.1		none				M	D	
PQ215541.1		none				M	D	
PQ215542.1		none				M	D	
PQ215543.1		none				M	D	
PQ215544.1		none				M	D	
PQ215545.1		none				M	D	
PQ215546.1		none				M	D	
PQ215575.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
PQ215578.1		none				M	D	
PQ215579.1		none				M	D	
PQ218468.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
PQ273182.1		none				M	D	
PQ273184.1		none				M	D	
PQ273185.1		none				M	D	
PQ273187.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
PQ273190.1		none				M	D	
PQ273194.1		none				M	D	
PQ273195.1		none				M	D	
PQ273196.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ273200.1		none				M	D	
PQ304610.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ304611.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ304614.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ304633.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5425:5443:-
PQ310235.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ310459.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5424:5442:-
PQ310518.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ310519.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ310520.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ310521.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ310522.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ373120.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ373121.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ373122.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ373123.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ373124.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ373126.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ373127.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ373131.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ373132.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ373133.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ373138.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ373139.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ373140.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ373142.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PQ100946.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5409:5427:-
PQ100947.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5409:5427:-
PQ100948.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5409:5427:-
PQ100949.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5409:5427:-
PP498986.1		none				M	D	
PP498987.1		none				M	D	
PP498988.1		none				M	D	
PP549876.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
PP549877.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
PP549878.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
PP549879.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
PP549880.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
PP549881.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
PP549882.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
PP549883.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
PP549884.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
PP549885.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
PP587392.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PP587393.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
PP658552.1		none				M	D	
PP658553.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
PP661667.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
OR844370.1		none				M	D	
OR844371.1		none				M	D	
OR844372.1		none				M	D	
OR844373.1		none				M	D	
OR844374.1		none				M	D	
OR844375.1		none				M	D	
OR844376.1		none				M	D	
OR844377.1		none				M	D	
OR844378.1		none				M	D	
OR844379.1		none				M	D	
OR844380.1		none				M	D	
OR844381.1		none				M	D	
OR844382.1		none				M	D	
OR844383.1		none				M	D	
PP381824.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
OR062612.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
OR262325.1		none				M	D	
OR536466.1		none				M	D	
OR536467.1		none				M	D	
OR536468.1		none				M	D	
OR536469.1		none				M	D	
OR536470.1		none				M	D	
OR536472.1		none				M	D	
OR536473.1		none				M	D	
OR536475.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
OR536476.1		none				M	D	
OR536477.1		none				M	D	
OR536478.1		none				M	D	
OR536479.1		none				M	D	
OR536480.1		none				M	D	
OR536481.1		none				M	D	
OR536482.1		none				M	D	
OR536483.1		none				M	D	
OR536484.1		none				M	D	
OR536485.1		none				M	D	
OR536486.1		none				M	D	
OR536487.1		none				M	D	
OR536488.1		none				M	D	
OR536489.1		none				M	D	
OR536490.1		none				M	D	
OR536491.1		none				M	D	
OR536492.1		none				M	D	
OQ940068.1		none				M	D	
OQ940069.1		none				M	D	
OQ940070.1		none				M	D	
OQ940071.1		none				M	D	
OQ940072.1		none				M	D	
OQ940073.1		none				M	D	
OQ940074.1		none				M	D	
OQ940075.1		none				M	D	
OQ940076.1		none				M	D	
OQ940077.1		none				M	D	
OQ940078.1		none				M	D	
OQ940079.1		none				M	D	
OQ940080.1		none				M	D	
OQ940081.1		none				M	D	
OQ940082.1		none				M	D	
OP901692.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
OP901693.1		none				M	D	
OP901694.1		none				M	D	
OQ342793.1		none				M	D	
OP686903.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5415:5433:-
OP686904.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
OP689557.1		none				M	D	
OP689558.1		none				M	D	
OP689689.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
OP690425.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
OP690426.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
OP690427.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
OP690505.1		none				M	D	
OP712196.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
OP712197.1		none				M	D	
OP712198.1		none				M	D	
OP712199.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
OP037976.1		none				M	D	
OP037977.1		none				M	D	
OP037978.1		none				M	D	
OP037979.1		none				M	D	
OP037980.1		none				M	D	
OP037981.1		none				M	D	
OP037982.1		none				M	D	
OP037983.1		none				M	D	
ON329737.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
ON569431.1		none				M	D	
OK376253.1		none				M	D	
OK376254.1		none				M	D	
OK376255.1		none				M	D	
OK376256.1		none				M	D	
OK376258.1		none				M	D	
OK376259.1		none				M	D	
OK376260.1		none				M	D	
OK376261.1		none				M	D	
OK376262.1		none				M	D	
OK376263.1		none				M	D	
OK376264.1		none				M	D	
OL451532.1		none				M	D	
OL451533.1		none				M	D	
OL898506.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5421:5439:-
OL898507.1		none				M	D	
OL898508.1		none				M	D	
OL898509.1		none				M	D	
OL898510.1		none				M	D	
OL898511.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
OL898512.1		none				M	D	
OL898513.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
OL898514.1		none				M	D	
OL898515.1		none				M	D	
OL898516.1		none				M	D	
OL913975.1		none				M	D	
OL913976.1		none				M	D	
OL913977.1		none				M	D	
OL943799.1		none				M	D	
OL943800.1		none				M	D	
OL943801.1		none				M	D	
OL943802.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5415:5433:-
NC_039477.1		none				M	D	
NC_040876.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
NC_044932.1		none				M	D	
MZ291631.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
MZ312111.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MW981327.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MZ233536.1		none				M	D	
MZ268408.1		none				M	D	
MW661246.1		none				M	D	
MW661253.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5424:5442:-
MW661264.1		none				M	D	
MW661266.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MW661271.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MW661272.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MW661273.1		none				M	D	
MW661274.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MW661275.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MW661278.1		none				M	D	
MW661281.1		none				M	D	
MW661282.1		none				M	D	
MW661284.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MW243610.2	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MW305737.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MT712130.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5421:5439:-
MT712147.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5421:5439:-
MT712157.1		none				M	D	
MT720841.1		none				M	D	
MT724793.1		none				M	D	
MT725762.1		none				M	D	
MT726225.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MT729788.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MT729791.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
MT731279.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MT731332.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5409:5427:-
MT738527.1		none				M	D	
MT755733.1		none				M	D	
MN853414.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
MN897754.1		none				M	D	
MN897755.1		none				M	D	
MN897756.1		none				M	D	
MT026582.1		none				M	D	
MT028542.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MT029316.1		none				M	D	
MT031761.1		none				M	D	
MT031821.1		none				M	D	
MT032004.1		none				M	D	
MT232050.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MT238671.1		none				M	D	
MN400355.2		none				M	D	
MN447470.1		none				M	D	
MN447471.1		none				M	D	
MN453358.1		none				M	D	
MN453359.1		none				M	D	
MN525276.1		none				M	D	
MK752935.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MK752936.1		none				M	D	
MK752938.1		none				M	D	
MK753015.1		none				M	D	
MK753032.1		none				M	D	
MK762621.1		none				M	D	
MK762624.1		none				M	D	
MK762635.1		none				M	D	
MK762638.1		none				M	D	
MK764016.1		none				M	D	
MK764040.1		none				M	D	
MK773584.1		none				M	D	
MK789432.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
MK789435.1		none				M	D	
MK934772.1		none				M	D	
MK629457.1		none				M	D	
MK641589.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5409:5427:-
MK483908.2		none				M	D	
MK483909.2		none				M	D	
MH979229.1		none				M	D	
MH979230.1		none				M	D	
MK282256.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
MK282257.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
MK282258.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5424:5442:-
MH413070.1		none				M	D	
MH671553.1		none				M	D	
MH218570.1		none				M	D	
MH218571.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5415:5433:-
MH218572.1		none				M	D	
MH218573.1		none				M	D	
MH218574.1		none				M	D	
MH218575.1		none				M	D	
MH218576.1		none				M	D	
MH218577.1		none				M	D	
MH218578.1		none				M	D	
MH218579.1		none				M	D	
MH218580.1		none				M	D	
MH218581.1		none				M	D	
MH218582.1		none				M	D	
MH218583.1		none				M	D	
MH218584.1		none				M	D	
MH218585.1		none				M	D	
MH218586.1		none				M	D	
MH218587.1		none				M	D	
MH218588.1		none				M	D	
MH218589.1		none				M	D	
MH218590.1		none				M	D	
MH218591.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M1	D	5412:5430:-
MH218592.1		none				M	D	
MH218593.1		none				M	D	
MH218594.1		none				M	D	
MH218595.1		none				M	D	
MH218596.1		none				M	D	
MH218597.1		none				M	D	
MH218598.1		none				M	D	
MH218599.1		none				M	D	
MH218600.1		none				M	D	
MH218601.1		none				M	D	
MH218602.1		none				M	D	
MH218603.1		none				M	D	
MH218604.1		none				M	D	
MH218605.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MH218606.1		none				M	D	
MH218607.1		none				M	D	
MH218608.1		none				M	D	
MH218609.1		none				M	D	
MH218610.1		none				M	D	
MH218611.1		none				M	D	
MH218612.1		none				M	D	
MH218613.1		none				M	D	
MH218614.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MH218615.1		none				M	D	
MH218616.1		none				M	D	
MH218617.1		none				M	D	
MH218618.1		none				M	D	
MH218619.1		none				M	D	
MH218620.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MH218621.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MH218622.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MH218623.1	reverse_primer_1	lin	reverse_primer_1 (-)	-	pass	M2	D	5415:5433:-
MH218624.1		none				M	D	
MH218625.1		none				M	D	
MH218626.1		none				M	D	
MH218627.1		none				M	D	
MH218628.1		none				M	D	
MH218629.1		none				M	D	
MH218630.1		none				M	D	
MH218631.1		none				M	D	
