Genome	Probe	Amplification	Pairing and Strand direction ((+)/(-))	Strand direction	Strand check	Mismatch	Distance	Location
PZ221915.1		none				M	D	
PZ221917.1		none				M	D	
PZ221922.1		none				M	D	
PZ221927.1		none				M	D	
PZ136053.1		none				M	D	
PZ136058.1		none				M	D	
PV275062.1		none				M	D	
PQ273182.1		none				M	D	
PQ273184.1		none				M	D	
PQ273185.1		none				M	D	
PQ273190.1		none				M	D	
PQ273200.1		none				M	D	
OR536466.1		none				M	D	
OR536467.1		none				M	D	
OR536468.1		none				M	D	
OR536469.1		none				M	D	
OR536470.1		none				M	D	
OR536472.1		none				M	D	
OR536473.1		none				M	D	
OR536476.1		none				M	D	
OR536477.1		none				M	D	
OR536478.1		none				M	D	
OR536479.1		none				M	D	
OR536480.1		none				M	D	
OR536481.1		none				M	D	
OR536482.1		none				M	D	
OR536483.1		none				M	D	
OR536484.1		none				M	D	
OR536485.1		none				M	D	
OR536486.1		none				M	D	
OR536487.1		none				M	D	
OR536488.1		none				M	D	
OR536489.1		none				M	D	
OR536490.1		none				M	D	
OR536491.1		none				M	D	
OR536492.1		none				M	D	
OP901693.1		none				M	D	
OQ342793.1		none				M	D	
OP690505.1		none				M	D	
OP712197.1		none				M	D	
ON569431.1		none				M	D	
OL451532.1		none				M	D	
OL451533.1		none				M	D	
OL898511.1		none				M	D	
OL913975.1		none				M	D	
OL943801.1		none				M	D	
OL943802.1		none				M	D	
NC_044932.1		none				M	D	
MW981327.1		none				M	D	
MW661253.1		none				M	D	
MT729788.1		none				M	D	
MT755733.1		none				M	D	
MN897754.1		none				M	D	
MT232050.1		none				M	D	
MN447470.1		none				M	D	
MN447471.1		none				M	D	
MN453358.1		none				M	D	
MN453359.1		none				M	D	
MH979230.1		none				M	D	
MH218570.1		none				M	D	
MH218572.1		none				M	D	
MH218573.1		none				M	D	
MH218574.1		none				M	D	
MH218575.1		none				M	D	
MH218576.1		none				M	D	
MH218577.1		none				M	D	
MH218578.1		none				M	D	
MH218579.1		none				M	D	
MH218580.1		none				M	D	
MH218581.1		none				M	D	
MH218582.1		none				M	D	
MH218583.1		none				M	D	
MH218584.1		none				M	D	
MH218585.1		none				M	D	
MH218586.1		none				M	D	
MH218587.1		none				M	D	
MH218588.1		none				M	D	
MH218589.1		none				M	D	
MH218590.1		none				M	D	
MH218591.1		none				M	D	
MH218592.1		none				M	D	
MH218593.1		none				M	D	
MH218594.1		none				M	D	
MH218595.1		none				M	D	
MH218596.1		none				M	D	
MH218597.1		none				M	D	
MH218598.1		none				M	D	
MH218599.1		none				M	D	
MH218600.1		none				M	D	
MH218601.1		none				M	D	
MH218602.1		none				M	D	
MH218603.1		none				M	D	
MH218604.1		none				M	D	
MH218614.1		none				M	D	
MH218618.1		none				M	D	
MH218620.1		none				M	D	
MH218621.1		none				M	D	
MH218622.1		none				M	D	
MH218623.1		none				M	D	
MH218630.1		none				M	D	
MH218634.1		none				M	D	
MH218635.1		none				M	D	
MH218637.1		none				M	D	
MH218646.1		none				M	D	
MH218653.1		none				M	D	
MH218654.1		none				M	D	
MH218660.1		none				M	D	
MH218668.1		none				M	D	
MH218669.1		none				M	D	
MH218671.1		none				M	D	
MH218672.1		none				M	D	
MH218675.1		none				M	D	
MH218676.1		none				M	D	
MH218677.1		none				M	D	
MH218678.1		none				M	D	
MH218679.1		none				M	D	
MH218680.1		none				M	D	
MH218681.1		none				M	D	
MH218682.1		none				M	D	
MH218683.1		none				M	D	
MH218686.1		none				M	D	
MH218688.1		none				M	D	
MH218690.1		none				M	D	
MH218693.1		none				M	D	
MH218696.1		none				M	D	
MH218698.1		none				M	D	
MH218703.1		none				M	D	
MH218704.1		none				M	D	
MH218706.1		none				M	D	
MH218712.1		none				M	D	
MH218713.1		none				M	D	
MH218717.1		none				M	D	
MH218732.1		none				M	D	
MH218738.1		none				M	D	
MG892946.3		none				M	D	
MG892953.3		none				M	D	
MG706448.1		none				M	D	
MG572182.1		none				M	D	
MG572719.1		none				M	D	
MG572730.1		none				M	D	
MG572731.1		none				M	D	
MG572732.1		none				M	D	
MF352142.1		none				M	D	
MF352143.1		none				M	D	
MF352144.1		none				M	D	
LC769681.1		none				M	D	
LC769682.1		none				M	D	
LC769689.1		none				M	D	
LC769701.1		none				M	D	
LC769702.1		none				M	D	
LC769704.1		none				M	D	
LC769706.1		none				M	D	
LC769709.1		none				M	D	
LC769712.1		none				M	D	
LC769713.1		none				M	D	
LC769715.1		none				M	D	
KT779557.1		none				M	D	
KF895841.2		none				M	D	
KF920739.4		none				M	D	
KF944110.2		none				M	D	
KF944111.3		none				M	D	
GU292831.4		none				M	D	
PZ136054.1		none				M	D	
PZ136057.1		none				M	D	
PV636607.1		none				M	D	
PQ461161.1		none				M	D	
OR536471.1		none				M	D	
OR536474.1		none				M	D	
OR536497.1		none				M	D	
OR536498.1		none				M	D	
OR536499.1		none				M	D	
MW661255.1		none				M	D	
MW661262.1		none				M	D	
MW661265.1		none				M	D	
MT316122.1		none				M	D	
MT158854.1		none				M	D	
MN199033.1		none				M	D	
PV275041.1		none				M	D	
PV275048.1		none				M	D	
PV275064.1		none				M	D	
PV275065.1		none				M	D	
PV275066.1		none				M	D	
PV275069.1		none				M	D	
OR700741.1		none				M	D	
OR069404.1		none				M	D	
LC597120.1		none				M	D	
LC597127.1		none				M	D	
LC597132.1		none				M	D	
OR793101.1		none				M	D	
PQ273191.1		none				M	D	
PQ207944.1		none				M	D	
PQ207945.1		none				M	D	
PQ507174.1		none				M	D	
PQ442935.1		none				M	D	
PQ442936.1		none				M	D	
PQ442937.1		none				M	D	
OP205577.1		none				M	D	
OP205578.1		none				M	D	
OR084261.1		none				M	D	
MT409884.1		none				M	D	
KJ710245.2		none				M	D	
PV920370.1		none				M	D	
PX285873.1		none				M	D	
PQ310125.2		none				M	D	
PQ304632.1		none				M	D	
PP658555.1		none				M	D	
PP645200.1		none				M	D	
KC962453.2		none				M	D	
