type	seqid	name	start1	stop	strand	mismatch
primer	PQ304632.1	reverse_primer_1	5416	5434	-	1
primer	PQ641315.1	reverse_primer_1	5447	5465	-	1
primer	OR793097.1	reverse_primer_1	5405	5423	-	1
primer	MW009072.1	reverse_primer_1	5450	5468	-	1
primer	MW009068.1	reverse_primer_1	5450	5468	-	1
primer	MW284784.1	reverse_primer_1	5409	5427	-	1
primer	MW284778.1	reverse_primer_1	5409	5427	-	1
primer	MW284776.1	reverse_primer_1	5409	5427	-	1
primer	LC597124.1	reverse_primer_1	5401	5419	-	1
primer	LC597121.1	reverse_primer_1	5409	5427	-	1
primer	OR069406.1	reverse_primer_1	5405	5423	-	1
primer	OR069405.1	reverse_primer_1	5405	5423	-	1
primer	OR051903.1	reverse_primer_1	5405	5423	-	1
primer	OR685283.1	reverse_primer_1	5420	5438	-	1
primer	PV174245.1	reverse_primer_1	5405	5423	-	1
primer	PV174244.1	reverse_primer_1	5411	5429	-	1
primer	PV174243.1	reverse_primer_1	5411	5429	-	1
primer	PV174239.1	reverse_primer_1	5405	5423	-	1
primer	MT158850.1	reverse_primer_1	5405	5423	-	1
primer	MZ265480.1	reverse_primer_1	5409	5427	-	1
primer	MZ265418.1	reverse_primer_1	5409	5427	-	1
primer	MZ265142.1	reverse_primer_1	5451	5469	-	1
primer	MZ272475.1	reverse_primer_1	5409	5427	-	1
primer	MZ272053.1	reverse_primer_1	5409	5427	-	1
primer	ON706286.1	reverse_primer_1	5405	5423	-	1
primer	OP609646.1	reverse_primer_1	5415	5433	-	1
primer	OP609645.1	reverse_primer_1	5415	5433	-	1
primer	OP609644.1	reverse_primer_1	5415	5433	-	1
primer	OP691295.1	reverse_primer_1	5415	5433	-	1
primer	OP691294.1	reverse_primer_1	5415	5433	-	1
primer	OR536463.1	reverse_primer_1	5408	5426	-	1
primer	OR536461.1	reverse_primer_1	5408	5426	-	1
primer	OR536456.1	reverse_primer_1	5408	5426	-	1
primer	OR536455.1	reverse_primer_1	5408	5426	-	1
primer	OR536453.1	reverse_primer_1	5408	5426	-	1
primer	OR536452.1	reverse_primer_1	5408	5426	-	1
primer	OR536451.1	reverse_primer_1	5408	5426	-	1
primer	OR536449.1	reverse_primer_1	5408	5426	-	1
primer	OR536448.1	reverse_primer_1	5408	5426	-	1
primer	OR536446.1	reverse_primer_1	5408	5426	-	1
primer	OR536445.1	reverse_primer_1	5408	5426	-	1
primer	OR536443.1	reverse_primer_1	5408	5426	-	1
primer	PV553834.1	reverse_primer_1	5416	5434	-	1
primer	HM596590.4	reverse_primer_1	5412	5430	-	1
primer	LC769700.1	reverse_primer_1	5451	5469	-	1
primer	MH218719.1	reverse_primer_1	5409	5427	-	1
primer	MH218687.1	reverse_primer_1	5409	5427	-	1
primer	MH218673.1	reverse_primer_1	5409	5427	-	1
primer	MH218667.1	reverse_primer_1	5409	5427	-	1
primer	MH218666.1	reverse_primer_1	5409	5427	-	1
primer	MH218658.1	reverse_primer_1	5409	5427	-	1
primer	MH218650.1	reverse_primer_1	5409	5427	-	1
primer	MH218645.1	reverse_primer_1	5409	5427	-	1
primer	MH218644.1	reverse_primer_1	5409	5427	-	1
primer	MH218643.1	reverse_primer_1	5409	5427	-	1
primer	MH218642.1	reverse_primer_1	5409	5427	-	1
primer	MH218640.1	reverse_primer_1	5409	5427	-	1
primer	MH218639.1	reverse_primer_1	5409	5427	-	1
primer	MH218591.1	reverse_primer_1	5412	5430	-	1
primer	MH218571.1	reverse_primer_1	5415	5433	-	1
primer	MK641589.1	reverse_primer_1	5409	5427	-	1
primer	MT731279.1	reverse_primer_1	5409	5427	-	1
primer	MW305737.1	reverse_primer_1	5409	5427	-	1
primer	MW243610.2	reverse_primer_1	5409	5427	-	1
primer	MW661284.1	reverse_primer_1	5409	5427	-	1
primer	MW661275.1	reverse_primer_1	5409	5427	-	1
primer	MW661274.1	reverse_primer_1	5409	5427	-	1
primer	MW661253.1	reverse_primer_1	5424	5442	-	1
primer	MZ312111.1	reverse_primer_1	5409	5427	-	1
primer	NC_040876.1	reverse_primer_1	5409	5427	-	1
primer	OL943802.1	reverse_primer_1	5415	5433	-	1
primer	OL898513.1	reverse_primer_1	5409	5427	-	1
primer	OP712196.1	reverse_primer_1	5409	5427	-	1
primer	OP690426.1	reverse_primer_1	5409	5427	-	1
primer	OP690425.1	reverse_primer_1	5409	5427	-	1
primer	OP686903.1	reverse_primer_1	5415	5433	-	1
primer	OP901692.1	reverse_primer_1	5409	5427	-	1
primer	PQ310459.1	reverse_primer_1	5424	5442	-	1
primer	PQ304633.1	reverse_primer_1	5425	5443	-	1
primer	PQ273187.1	reverse_primer_1	5409	5427	-	1
primer	KC962453.2	reverse_primer_1	5415	5433	-	2
primer	PP564834.1	reverse_primer_1	5415	5433	-	2
primer	PP564833.1	reverse_primer_1	5415	5433	-	2
primer	PP564832.1	reverse_primer_1	5415	5433	-	2
primer	PP564831.1	reverse_primer_1	5415	5433	-	2
primer	PP564830.1	reverse_primer_1	5415	5433	-	2
primer	PP564829.1	reverse_primer_1	5415	5433	-	2
primer	PP645199.1	reverse_primer_1	5415	5433	-	2
primer	PP658560.1	reverse_primer_1	5411	5429	-	2
primer	PP658559.1	reverse_primer_1	5414	5432	-	2
primer	PQ304613.1	reverse_primer_1	5420	5438	-	2
primer	PQ304612.1	reverse_primer_1	5420	5438	-	2
primer	PQ310236.1	reverse_primer_1	5420	5438	-	2
primer	PQ310234.1	reverse_primer_1	5420	5438	-	2
primer	PQ310131.1	reverse_primer_1	5424	5442	-	2
primer	PQ310130.1	reverse_primer_1	5424	5442	-	2
primer	PQ310129.1	reverse_primer_1	5424	5442	-	2
primer	PQ310128.1	reverse_primer_1	5424	5442	-	2
primer	PQ310127.1	reverse_primer_1	5424	5442	-	2
primer	PQ310126.1	reverse_primer_1	5424	5442	-	2
primer	PQ310125.2	reverse_primer_1	5420	5438	-	2
primer	PQ310124.1	reverse_primer_1	5424	5442	-	2
primer	PQ308689.1	reverse_primer_1	5420	5438	-	2
primer	PQ308687.1	reverse_primer_1	5420	5438	-	2
primer	PQ308686.1	reverse_primer_1	5420	5438	-	2
primer	PQ308685.1	reverse_primer_1	5420	5438	-	2
primer	PQ308684.1	reverse_primer_1	5424	5442	-	2
primer	PV920370.1	reverse_primer_1	5422	5440	-	2
primer	KJ710245.2	reverse_primer_1	5415	5433	-	2
primer	OP805361.1	reverse_primer_1	5424	5442	-	2
primer	OP805360.1	reverse_primer_1	5424	5442	-	2
primer	OR084261.1	reverse_primer_1	5415	5433	-	2
primer	PQ373146.1	reverse_primer_1	5420	5438	-	2
primer	PQ373145.1	reverse_primer_1	5420	5438	-	2
primer	PQ373144.1	reverse_primer_1	5420	5438	-	2
primer	PQ373143.1	reverse_primer_1	5420	5438	-	2
primer	PQ373141.1	reverse_primer_1	5420	5438	-	2
primer	PQ373137.1	reverse_primer_1	5420	5438	-	2
primer	PQ373136.1	reverse_primer_1	5420	5438	-	2
primer	PQ373135.1	reverse_primer_1	5420	5438	-	2
primer	PQ373134.1	reverse_primer_1	5420	5438	-	2
primer	PQ373130.1	reverse_primer_1	5420	5438	-	2
primer	PQ373125.1	reverse_primer_1	5420	5438	-	2
primer	PQ373119.1	reverse_primer_1	5423	5441	-	2
primer	PQ507173.1	reverse_primer_1	5409	5427	-	2
primer	PQ214837.1	reverse_primer_1	5415	5433	-	2
primer	PQ207945.1	reverse_primer_1	5430	5448	-	2
primer	PQ207944.1	reverse_primer_1	5426	5444	-	2
primer	PQ207934.1	reverse_primer_1	5411	5429	-	2
primer	PQ207933.1	reverse_primer_1	5415	5433	-	2
primer	PQ207926.1	reverse_primer_1	5415	5433	-	2
primer	PQ195940.1	reverse_primer_1	5415	5433	-	2
primer	PQ195928.1	reverse_primer_1	5411	5429	-	2
primer	PQ195927.1	reverse_primer_1	5411	5429	-	2
primer	PQ195926.1	reverse_primer_1	5411	5429	-	2
primer	PQ195913.1	reverse_primer_1	5415	5433	-	2
primer	PQ195909.1	reverse_primer_1	5411	5429	-	2
primer	PQ195908.1	reverse_primer_1	5411	5429	-	2
primer	PQ273191.1	reverse_primer_1	5413	5431	-	2
primer	PQ482380.1	reverse_primer_1	5420	5438	-	2
primer	PQ482379.1	reverse_primer_1	5420	5438	-	2
primer	PV784280.1	reverse_primer_1	5424	5442	-	2
primer	PV784278.1	reverse_primer_1	5420	5438	-	2
primer	PV750898.1	reverse_primer_1	5421	5439	-	2
primer	PV750886.1	reverse_primer_1	5420	5438	-	2
primer	OR793084.1	reverse_primer_1	5420	5438	-	2
primer	OR793083.1	reverse_primer_1	5420	5438	-	2
primer	PX631122.1	reverse_primer_1	5409	5427	-	2
primer	KY947549.1	reverse_primer_1	5414	5432	-	2
primer	LC597127.1	reverse_primer_1	5407	5425	-	2
primer	LC597120.1	reverse_primer_1	5415	5433	-	2
primer	LC597112.1	reverse_primer_1	5424	5442	-	2
primer	OR700741.1	reverse_primer_1	5411	5429	-	2
primer	PV275069.1	reverse_primer_1	5411	5429	-	2
primer	PV275066.1	reverse_primer_1	5429	5447	-	2
primer	PV275065.1	reverse_primer_1	5429	5447	-	2
primer	PV275064.1	reverse_primer_1	5429	5447	-	2
primer	PV275048.1	reverse_primer_1	5411	5429	-	2
primer	PV275041.1	reverse_primer_1	5411	5429	-	2
primer	MK754447.1	reverse_primer_1	5415	5433	-	2
primer	MK754445.1	reverse_primer_1	5411	5429	-	2
primer	MK753036.1	reverse_primer_1	5415	5433	-	2
primer	MK753034.1	reverse_primer_1	5415	5433	-	2
primer	MK753033.1	reverse_primer_1	5411	5429	-	2
primer	MK764041.1	reverse_primer_1	5415	5433	-	2
primer	MK762627.1	reverse_primer_1	5414	5432	-	2
primer	MK614137.1	reverse_primer_1	5411	5429	-	2
primer	MT158861.1	reverse_primer_1	5420	5438	-	2
primer	MT158860.1	reverse_primer_1	5420	5438	-	2
primer	MT242482.1	reverse_primer_1	5417	5435	-	2
primer	MT233268.1	reverse_primer_1	5420	5438	-	2
primer	MW661270.1	reverse_primer_1	5414	5432	-	2
primer	MW661269.1	reverse_primer_1	5413	5431	-	2
primer	MW661268.1	reverse_primer_1	5412	5430	-	2
primer	MW661267.1	reverse_primer_1	5415	5433	-	2
primer	MW661263.1	reverse_primer_1	5415	5433	-	2
primer	MW661257.1	reverse_primer_1	5414	5432	-	2
primer	MZ265063.2	reverse_primer_1	5417	5435	-	2
primer	MZ291632.1	reverse_primer_1	5420	5438	-	2
primer	MZ291623.1	reverse_primer_1	5424	5442	-	2
primer	MZ292794.1	reverse_primer_1	5412	5430	-	2
primer	MZ292759.1	reverse_primer_1	5409	5427	-	2
primer	MW581012.1	reverse_primer_1	5415	5433	-	2
primer	MW581011.1	reverse_primer_1	5415	5433	-	2
primer	MW581010.1	reverse_primer_1	5415	5433	-	2
primer	MW581009.1	reverse_primer_1	5415	5433	-	2
primer	MW581008.1	reverse_primer_1	5415	5433	-	2
primer	MW581007.1	reverse_primer_1	5415	5433	-	2
primer	MW581006.1	reverse_primer_1	5415	5433	-	2
primer	MW581005.1	reverse_primer_1	5415	5433	-	2
primer	MW581004.1	reverse_primer_1	5415	5433	-	2
primer	OR546400.1	reverse_primer_1	5411	5429	-	2
primer	OR546399.1	reverse_primer_1	5411	5429	-	2
primer	OR546398.1	reverse_primer_1	5411	5429	-	2
primer	OR546397.1	reverse_primer_1	5411	5429	-	2
primer	OR546396.1	reverse_primer_1	5411	5429	-	2
primer	OR546395.1	reverse_primer_1	5411	5429	-	2
primer	OR546394.1	reverse_primer_1	5411	5429	-	2
primer	OR546393.1	reverse_primer_1	5411	5429	-	2
primer	OR546392.1	reverse_primer_1	5411	5429	-	2
primer	OR546391.1	reverse_primer_1	5411	5429	-	2
primer	PP267298.1	reverse_primer_1	5424	5442	-	2
primer	PP267285.1	reverse_primer_1	5424	5442	-	2
primer	PP267284.1	reverse_primer_1	5424	5442	-	2
primer	PP267279.1	reverse_primer_1	5424	5442	-	2
primer	PP381831.1	reverse_primer_1	5415	5433	-	2
primer	OR536496.1	reverse_primer_1	5415	5433	-	2
primer	OR536495.1	reverse_primer_1	5415	5433	-	2
primer	PV588797.1	reverse_primer_1	5420	5438	-	2
primer	PV588796.1	reverse_primer_1	5420	5438	-	2
primer	PV588658.1	reverse_primer_1	5420	5438	-	2
primer	PV588657.1	reverse_primer_1	5420	5438	-	2
primer	PV588656.1	reverse_primer_1	5420	5438	-	2
primer	PV588655.1	reverse_primer_1	5420	5438	-	2
primer	PV655189.1	reverse_primer_1	5420	5438	-	2
primer	PV746275.1	reverse_primer_1	5415	5433	-	2
primer	PV765570.1	reverse_primer_1	5420	5438	-	2
primer	PV765568.1	reverse_primer_1	5420	5438	-	2
primer	PV765565.1	reverse_primer_1	5420	5438	-	2
primer	PV806174.1	reverse_primer_1	5409	5427	-	2
primer	PV806173.1	reverse_primer_1	5409	5427	-	2
primer	PV806172.1	reverse_primer_1	5409	5427	-	2
primer	PV902474.1	reverse_primer_1	5420	5438	-	2
primer	PZ059672.1	reverse_primer_1	5424	5442	-	2
primer	PZ059671.1	reverse_primer_1	5424	5442	-	2
primer	PZ059670.1	reverse_primer_1	5424	5442	-	2
primer	PZ059669.1	reverse_primer_1	5424	5442	-	2
primer	PZ059668.1	reverse_primer_1	5424	5442	-	2
primer	PZ059667.1	reverse_primer_1	5424	5442	-	2
primer	LC369258.1	reverse_primer_1	5367	5385	-	2
primer	LC369257.1	reverse_primer_1	5419	5437	-	2
primer	LC369256.1	reverse_primer_1	5414	5432	-	2
primer	LC369255.1	reverse_primer_1	5414	5432	-	2
primer	LC369254.1	reverse_primer_1	5424	5442	-	2
primer	LC369253.1	reverse_primer_1	5409	5427	-	2
primer	LC369252.1	reverse_primer_1	5409	5427	-	2
primer	LC369251.1	reverse_primer_1	5409	5427	-	2
primer	LC369249.1	reverse_primer_1	5412	5430	-	2
primer	LC369248.1	reverse_primer_1	5410	5428	-	2
primer	LC369247.1	reverse_primer_1	5410	5428	-	2
primer	LC369246.1	reverse_primer_1	5410	5428	-	2
primer	LC369245.1	reverse_primer_1	5419	5437	-	2
primer	LC369244.1	reverse_primer_1	5424	5442	-	2
primer	LC369243.1	reverse_primer_1	5412	5430	-	2
primer	LC369242.1	reverse_primer_1	5419	5437	-	2
primer	LC369241.1	reverse_primer_1	5418	5436	-	2
primer	LC369240.1	reverse_primer_1	5412	5430	-	2
primer	LC369239.1	reverse_primer_1	5410	5428	-	2
primer	LC369238.1	reverse_primer_1	5418	5436	-	2
primer	LC369237.1	reverse_primer_1	5419	5437	-	2
primer	LC369236.1	reverse_primer_1	5424	5442	-	2
primer	LC369235.1	reverse_primer_1	5416	5434	-	2
primer	LC369234.1	reverse_primer_1	5416	5434	-	2
primer	LC369233.1	reverse_primer_1	5414	5432	-	2
primer	LC369232.1	reverse_primer_1	5414	5432	-	2
primer	LC369231.1	reverse_primer_1	5414	5432	-	2
primer	LC369230.1	reverse_primer_1	5414	5432	-	2
primer	LC369229.1	reverse_primer_1	5414	5432	-	2
primer	LC369228.1	reverse_primer_1	5414	5432	-	2
primer	LC369227.1	reverse_primer_1	5414	5432	-	2
primer	LC369225.1	reverse_primer_1	5412	5430	-	2
primer	LC369224.1	reverse_primer_1	5412	5430	-	2
primer	LC369222.1	reverse_primer_1	5412	5430	-	2
primer	LC369221.1	reverse_primer_1	5410	5428	-	2
primer	LC369220.1	reverse_primer_1	5410	5428	-	2
primer	LC369219.1	reverse_primer_1	5424	5442	-	2
primer	LC369218.1	reverse_primer_1	5416	5434	-	2
primer	LC369217.1	reverse_primer_1	5409	5427	-	2
primer	LC369216.1	reverse_primer_1	5409	5427	-	2
primer	LC369215.1	reverse_primer_1	5419	5437	-	2
primer	LC369214.1	reverse_primer_1	5424	5442	-	2
primer	LC342059.1	reverse_primer_1	5415	5433	-	2
primer	LC769714.1	reverse_primer_1	5403	5421	-	2
primer	LC769701.1	reverse_primer_1	5398	5416	-	2
primer	LC769697.1	reverse_primer_1	5415	5433	-	2
primer	LC769692.1	reverse_primer_1	5394	5412	-	2
primer	LC769685.1	reverse_primer_1	5415	5433	-	2
primer	LC769684.1	reverse_primer_1	5401	5419	-	2
primer	LC769683.1	reverse_primer_1	5404	5422	-	2
primer	LC769681.1	reverse_primer_1	5406	5424	-	2
primer	LC919492.1	reverse_primer_1	5408	5426	-	2
primer	LC918524.1	reverse_primer_1	5409	5427	-	2
primer	LC918523.1	reverse_primer_1	5407	5425	-	2
primer	LC918522.1	reverse_primer_1	5409	5427	-	2
primer	LC918521.1	reverse_primer_1	5403	5421	-	2
primer	LC918520.1	reverse_primer_1	5413	5431	-	2
primer	LC918519.1	reverse_primer_1	5421	5439	-	2
primer	LC918518.1	reverse_primer_1	5420	5438	-	2
primer	LC918517.1	reverse_primer_1	5414	5432	-	2
primer	LC918516.1	reverse_primer_1	5412	5430	-	2
primer	LC918515.1	reverse_primer_1	5414	5432	-	2
primer	LC918514.1	reverse_primer_1	5414	5432	-	2
primer	LC918513.1	reverse_primer_1	5407	5425	-	2
primer	LC918512.1	reverse_primer_1	5414	5432	-	2
primer	LC918511.1	reverse_primer_1	5424	5442	-	2
