Genome	Primer	Amplification	Pairing and Strand direction ((+)/(-))	Strand direction	Strand check	Mismatch	Distance	Location
OX387704.1	forward_primer_var4	lin	forward_primer_var4 (-)	-	pass	M3	D	51342520:51342542:-
OX387704.1	forward_primer_var4	lin	forward_primer_var4 (-)	-	pass	M3	D	51342586:51342608:-
OX387704.1	forward_primer_var4	lin	forward_primer_var4 (-)	-	pass	M3	D	51342778:51342800:-
OX387704.1	forward_primer_var4	lin	forward_primer_var4 (-)	-	pass	M3	D	51342844:51342866:-
OX387704.1	forward_primer_var4	lin	forward_primer_var4 (-)	-	pass	M3	D	51343162:51343184:-
OX387704.1	forward_primer_var8	lin	forward_primer_var8 (-)	-	pass	M3	D	51342520:51342542:-
OX387704.1	forward_primer_var8	lin	forward_primer_var8 (-)	-	pass	M3	D	51342586:51342608:-
OX387704.1	forward_primer_var8	lin	forward_primer_var8 (-)	-	pass	M3	D	51342778:51342800:-
OX387704.1	forward_primer_var8	lin	forward_primer_var8 (-)	-	pass	M3	D	51342844:51342866:-
OX387704.1	forward_primer_var8	lin	forward_primer_var8 (-)	-	pass	M3	D	51343162:51343184:-
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3*	D	3028546:3028563:+
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3*	D	4572930:4572945:+
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3	D	6906889:6906907:+
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3*	D	45359496:45359513:+
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3*	D	54773706:54773721:+
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	64161586:64161604:-
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	66753720:66753738:-
OX387704.1	reverse_primer_var3	lin	reverse_primer_var3 (+)	+	pass	M3	D	95039946:95039964:+
OX387704.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (+)	+	pass	M3	D	16267683:16267701:+
OX387704.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (+)	+	pass	M3*	D	43368837:43368854:+
OX387704.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (+)	+	pass	M3*	D	66421973:66421990:+
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3*	D	24238740:24238757:-
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	33575019:33575037:-
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3*	D	58290276:58290293:-
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	68171518:68171536:-
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3*	D	69750466:69750483:-
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (+)	+	pass	M3	D	93077555:93077572:+
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (+)	+	pass	M3	D	98922230:98922247:+
OX387704.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var5 (-)	-	pass	M3	D	109441083:109441100:-
OX387704.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3	D	3198780:3198798:-
OX387704.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (-)	-	pass	M3	D	33123209:33123227:-
OX387704.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3	D	52802204:52802222:+
OX387704.1	reverse_primer_var1,reverse_primer_var7	lin	reverse_primer_var7 (+)	+	pass	M3	D	65767564:65767582:+
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	3406127:3406144:-
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	3437421:3437438:-
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	3459970:3459987:-
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3*	D	26230702:26230719:+
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3	D	67672601:67672619:+
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	85347160:85347178:-
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+)	+	pass	M3	D	89611115:89611132:+
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (-)	-	pass	M3	D	106733766:106733784:-
OX387705.1	reverse_primer_var1,reverse_primer_var5	lin	reverse_primer_var1 (+),reverse_primer_var5 (+)	++	FAIL	M2,3	D0	1031296:1031313:+,1031297:1031313:+
OX387705.1	reverse_primer_var2	lin	reverse_primer_var2 (-)	-	pass	M3	D	38962791:38962809:-
OX387705.1	reverse_primer_var2	lin	reverse_primer_var2 (-)	-	pass	M3	D	83633136:83633154:-
OX387705.1	reverse_primer_var3	lin	reverse_primer_var3 (+)	+	pass	M3	D	58055298:58055316:+
OX387705.1	reverse_primer_var3	lin	reverse_primer_var3 (-)	-	pass	M3	D	66784859:66784877:-
OX387705.1	reverse_primer_var3	lin	reverse_primer_var3 (-)	-	pass	M3	D	107244657:107244675:-
OX387705.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (-)	-	pass	M3	D	17711492:17711510:-
OX387705.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (+)	+	pass	M3	D	20439745:20439763:+
OX387705.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (-)	-	pass	M3	D	30549299:30549317:-
OX387705.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (-)	-	pass	M3	D	30554313:30554331:-
OX387705.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (-)	-	pass	M3	D	30559325:30559343:-
OX387705.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (-)	-	pass	M3	D	30564336:30564354:-
OX387705.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (-)	-	pass	M3	D	30569339:30569357:-
OX387705.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (-)	-	pass	M3	D	30574336:30574354:-
OX387705.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (+)	+	pass	M3	D	40474799:40474817:+
OX387705.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (+)	+	pass	M3	D	45386586:45386604:+
OX387705.1	reverse_primer_var4,reverse_primer_var4	lin	reverse_primer_var4 (+)	+	pass	M3*	D	101996145:101996161:+
