Genome	Probe	Amplification	Pairing and Strand direction ((+)/(-))	Strand direction	Strand check	Mismatch	Distance	Location
OQ342793.1		none				M	D	
OP690505.1		none				M	D	
OL451532.1		none				M	D	
OL451533.1		none				M	D	
OL898511.1		none				M	D	
OL943801.1		none				M	D	
NC_044932.1		none				M	D	
MW981327.1		none				M	D	
MW661266.1		none				M	D	
MW661271.1		none				M	D	
MW661272.1		none				M	D	
MN897754.1		none				M	D	
MT232050.1		none				M	D	
MN447470.1		none				M	D	
MN447471.1		none				M	D	
MN453359.1		none				M	D	
MK483908.2		none				M	D	
MH979230.1		none				M	D	
MH218614.1		none				M	D	
MH218620.1		none				M	D	
MH218621.1		none				M	D	
MH218622.1		none				M	D	
MH218623.1		none				M	D	
MH218634.1		none				M	D	
MH218635.1		none				M	D	
MH218637.1		none				M	D	
MH218706.1		none				M	D	
MG892946.3		none				M	D	
MG892953.3		none				M	D	
MG706448.1		none				M	D	
MG572182.1		none				M	D	
MG572719.1		none				M	D	
MG572730.1		none				M	D	
MG572731.1		none				M	D	
MG572732.1		none				M	D	
MF352142.1		none				M	D	
MF352143.1		none				M	D	
MF352144.1		none				M	D	
LC769681.1		none				M	D	
LC769682.1		none				M	D	
LC769689.1		none				M	D	
LC769702.1		none				M	D	
LC769704.1		none				M	D	
LC769706.1		none				M	D	
LC769709.1		none				M	D	
LC769712.1		none				M	D	
LC769713.1		none				M	D	
LC769715.1		none				M	D	
KT779557.1		none				M	D	
KF895841.2		none				M	D	
KF920739.4		none				M	D	
KF944110.2		none				M	D	
KF944111.3		none				M	D	
GU292831.4		none				M	D	
OR546391.1		none				M	D	
OR546392.1		none				M	D	
OR546393.1		none				M	D	
OR546396.1		none				M	D	
OR546397.1		none				M	D	
OR546398.1		none				M	D	
OR546399.1		none				M	D	
OR546400.1		none				M	D	
MZ292794.1		none				M	D	
MW661257.1		none				M	D	
MW661263.1		none				M	D	
MW661267.1		none				M	D	
MW661268.1		none				M	D	
MW661269.1		none				M	D	
MW661270.1		none				M	D	
MT316122.1		none				M	D	
MK753033.1		none				M	D	
MK753034.1		none				M	D	
PV275041.1		none				M	D	
PV275048.1		none				M	D	
PV275069.1		none				M	D	
OR065073.1		none				M	D	
LC597127.1		none				M	D	
PQ273191.1		none				M	D	
PQ507174.1		none				M	D	
OR084261.1		none				M	D	
PP645199.1		none				M	D	
