accession,BLAST_score,begin,end,length,p_type,p_subtype,rdrp_start,rdrp_end,rdrp_source,genotype,genotype_subtype,vp1_start,vp1_end,has_overlap,overlap
PZ169340.1,75.42017,4837.0,5345.0,508.0,GII.P16,,1.0,264.0,annotated_rdrp,GII.4,,248.0,508.0,True,17.0
PZ169341.1,82.397,4837.0,5371.0,534.0,Could,,1.0,264.0,annotated_rdrp,GII.4,Could not assign,248.0,534.0,True,17.0
PZ169342.1,82.20974,4837.0,5371.0,534.0,Could,,1.0,264.0,annotated_rdrp,GII.4,,248.0,534.0,True,17.0
PZ169343.1,82.397,4837.0,5371.0,534.0,Could,,1.0,264.0,annotated_rdrp,GII.4,Could not assign,248.0,534.0,True,17.0
PZ169344.1,93.445694,4837.0,5371.0,534.0,GII.P7,,1.0,264.0,annotated_rdrp,GII.6,,248.0,534.0,True,17.0
PZ169345.1,82.397,4837.0,5371.0,534.0,Could,,1.0,264.0,annotated_rdrp,GII.4,Could not assign,248.0,534.0,True,17.0
PZ169346.1,81.51751,4837.0,5358.0,521.0,GII.P31,,1.0,264.0,annotated_rdrp,GII.4,,248.0,521.0,True,17.0
PZ169347.1,82.20974,4837.0,5371.0,534.0,Could,,1.0,264.0,annotated_rdrp,GII.4,,248.0,534.0,True,17.0
PZ169348.1,82.25508,4828.0,5369.0,541.0,GII.P31,,1.0,273.0,annotated_rdrp,GII.4,,257.0,541.0,True,17.0
PZ169349.1,80.0,4837.0,5355.0,518.0,GII.P17,,1.0,264.0,annotated_rdrp,GII.17,,248.0,518.0,True,17.0
PZ169350.1,78.78788,4837.0,5367.0,530.0,GII.P17,,1.0,264.0,annotated_rdrp,GII.17,,248.0,530.0,True,17.0
PZ169351.1,72.983116,4837.0,5370.0,533.0,GII.P16,,1.0,264.0,annotated_rdrp,GII.4,,248.0,533.0,True,17.0
PZ169352.1,93.668526,4837.0,5374.0,537.0,GII.P7,,1.0,264.0,annotated_rdrp,GII.6,,248.0,537.0,True,17.0
PZ169353.1,82.20974,4837.0,5371.0,534.0,GII.P31,,1.0,264.0,annotated_rdrp,GII.4,,248.0,534.0,True,17.0
PZ169354.1,82.30913,4837.0,5374.0,537.0,GII.P31,,1.0,264.0,annotated_rdrp,GII.4,Could not assign,248.0,537.0,True,17.0
PZ169356.1,79.3621,4837.0,5370.0,533.0,GII.P17,,1.0,264.0,annotated_rdrp,GII.17,,248.0,533.0,True,17.0
PZ169357.1,86.206894,4837.0,5359.0,522.0,GII.P7,,1.0,264.0,annotated_rdrp,GII.14,,248.0,522.0,True,17.0
PZ169358.1,94.00749,4837.0,5371.0,534.0,GII.P7,,1.0,264.0,annotated_rdrp,GII.6,,248.0,534.0,True,17.0
PZ169359.1,94.00749,4837.0,5371.0,534.0,GII.P7,,1.0,264.0,annotated_rdrp,GII.6,,248.0,534.0,True,17.0
PZ169360.1,94.04097,4837.0,5374.0,537.0,GII.P7,,1.0,264.0,annotated_rdrp,GII.6,,248.0,537.0,True,17.0
PZ169361.1,94.00749,4837.0,5371.0,534.0,GII.P7,,1.0,264.0,annotated_rdrp,GII.6,,248.0,534.0,True,17.0
PZ169362.1,78.48101,4836.0,5391.0,555.0,Could,,1.0,265.0,annotated_rdrp,GII.17,,249.0,555.0,True,17.0
PZ169363.1,82.23062,4838.0,5367.0,529.0,GII.P31,,1.0,263.0,annotated_rdrp,GII.4,,247.0,529.0,True,17.0
PZ169364.1,80.52209,4837.0,5340.0,503.0,GII.P17,,1.0,264.0,annotated_rdrp,GII.17,,248.0,503.0,True,17.0
PZ169365.1,82.26415,4837.0,5367.0,530.0,Could,,1.0,264.0,annotated_rdrp,GII.4,,248.0,530.0,True,17.0
PZ169366.1,93.90476,4839.0,5366.0,527.0,GII.P7,,1.0,262.0,annotated_rdrp,GII.6,,246.0,527.0,True,17.0
PZ169368.1,94.22719,4837.0,5374.0,537.0,GII.P7,,1.0,264.0,annotated_rdrp,GII.6,,248.0,537.0,True,17.0
PZ169369.1,86.96498,4837.0,5355.0,518.0,GII.P7,,1.0,264.0,annotated_rdrp,GII.9,,248.0,518.0,True,17.0
PZ169372.1,86.02362,4837.0,5346.0,509.0,GII.P7,,1.0,264.0,annotated_rdrp,GII.9,,248.0,509.0,True,17.0
PZ169373.1,80.715706,4832.0,5340.0,508.0,GII.P17,,1.0,269.0,annotated_rdrp,GII.17,,253.0,508.0,True,17.0
PZ169374.1,77.53223,4837.0,5377.0,543.0,GII.P15,,1.0,264.0,annotated_rdrp,GIX.1 (GII.15),,248.0,543.0,True,17.0
PZ169376.1,79.69052,4816.0,5338.0,522.0,Could,,1.0,285.0,annotated_rdrp,GII.17,,269.0,522.0,True,17.0
PZ169377.1,82.80633,4838.0,5344.0,506.0,Could,,1.0,263.0,annotated_rdrp,GII.4,,247.0,506.0,True,17.0
PZ169378.1,81.037926,4837.0,5342.0,505.0,GII.P17,,1.0,264.0,annotated_rdrp,GII.17,,248.0,505.0,True,17.0
PZ169379.1,74.53184,4836.0,5370.0,534.0,GII.P16,,1.0,265.0,annotated_rdrp,GII.4,,249.0,534.0,True,17.0
PZ169380.1,82.62549,4839.0,5362.0,523.0,Could,,1.0,262.0,annotated_rdrp,GII.4,,246.0,523.0,True,17.0
PZ169382.1,93.448944,4836.0,5359.0,523.0,GII.P7,,1.0,265.0,annotated_rdrp,GII.6,,249.0,523.0,True,17.0
PZ169383.1,86.04206,4837.0,5370.0,533.0,GII.P7,,1.0,264.0,annotated_rdrp,GII.9,,248.0,533.0,True,17.0
PZ169384.1,83.14176,4837.0,5364.0,527.0,GII.P21,,1.0,264.0,annotated_rdrp,GII.21,,248.0,527.0,True,17.0
PZ169385.1,79.775276,4837.0,5373.0,536.0,Could,,1.0,264.0,annotated_rdrp,GII.17,,248.0,536.0,True,17.0
PZ169386.1,81.437126,4834.0,5340.0,506.0,GII.P17,,1.0,267.0,annotated_rdrp,GII.17,,251.0,506.0,True,17.0
PZ177377.1,80.33089,4833.0,5377.0,544.0,GII.P16,,1.0,268.0,annotated_rdrp,GII.2,,252.0,544.0,True,17.0
PZ177378.1,75.82418,4831.0,5377.0,546.0,GII.P16,,1.0,270.0,annotated_rdrp,GII.4,,254.0,546.0,True,17.0
PZ177379.1,93.88889,4837.0,5377.0,540.0,GII.P7,,1.0,264.0,annotated_rdrp,GII.6,,248.0,540.0,True,17.0
PZ177380.1,75.83025,4832.0,5374.0,542.0,GII.P16,,1.0,269.0,annotated_rdrp,GII.4,,253.0,542.0,True,17.0
PZ177381.1,75.87477,4831.0,5374.0,543.0,GII.P16,,1.0,270.0,annotated_rdrp,GII.4,,254.0,543.0,True,17.0
PZ177382.1,75.37037,4831.0,5371.0,540.0,GII.P16,,1.0,270.0,annotated_rdrp,GII.4,,254.0,540.0,True,17.0
PZ177383.1,75.92593,4831.0,5371.0,540.0,GII.P16,,1.0,270.0,annotated_rdrp,GII.4,,254.0,540.0,True,17.0
PZ177384.1,75.50644,4831.0,5376.0,545.0,GII.P16,,1.0,270.0,annotated_rdrp,GII.4,,254.0,545.0,True,17.0
PZ177385.1,75.87477,4831.0,5374.0,543.0,GII.P16,,1.0,270.0,annotated_rdrp,GII.4,,254.0,543.0,True,17.0
PZ177386.1,80.21978,4830.0,5377.0,547.0,GII.P16,,1.0,271.0,annotated_rdrp,GII.2,,255.0,547.0,True,17.0
PZ177387.1,75.87477,4830.0,5374.0,544.0,GII.P16,,1.0,271.0,annotated_rdrp,GII.4,,255.0,544.0,True,17.0
PZ177388.1,79.520294,4832.0,5374.0,542.0,GII.P17,,1.0,269.0,annotated_rdrp,GII.17,,253.0,542.0,True,17.0
PZ177389.1,79.67033,4831.0,5377.0,546.0,GII.P17,,1.0,270.0,annotated_rdrp,GII.17,,254.0,546.0,True,17.0
PZ177390.1,79.44954,4832.0,5377.0,545.0,Could,,1.0,269.0,annotated_rdrp,GII.17,,253.0,545.0,True,17.0
PZ177391.1,79.81651,4832.0,5377.0,545.0,GII.P17,,1.0,269.0,annotated_rdrp,GII.17,,253.0,545.0,True,17.0
PZ177392.1,79.44444,4835.0,5377.0,542.0,Could,,1.0,266.0,annotated_rdrp,GII.17,,250.0,542.0,True,17.0
PZ177393.1,80.0,4836.0,5377.0,541.0,GII.P16,,1.0,265.0,annotated_rdrp,GII.2,,249.0,541.0,True,17.0
PZ177394.1,80.40293,4830.0,5377.0,547.0,GII.P16,,1.0,271.0,annotated_rdrp,GII.2,,255.0,547.0,True,17.0
PZ177396.1,79.48718,4830.0,5377.0,547.0,GII.P16,,1.0,271.0,annotated_rdrp,GII.10,,255.0,547.0,True,17.0
PZ177397.1,79.81651,4832.0,5377.0,545.0,GII.P16,,1.0,269.0,annotated_rdrp,GII.2,,253.0,545.0,True,17.0
PZ177398.1,79.633026,4832.0,5377.0,545.0,GII.P17,,1.0,269.0,annotated_rdrp,GII.17,,253.0,545.0,True,17.0
PZ177399.1,79.85348,4830.0,5377.0,547.0,GII.P16,,1.0,271.0,annotated_rdrp,GII.10,,255.0,547.0,True,17.0
PZ177400.1,79.67033,4830.0,5377.0,547.0,GII.P16,,1.0,271.0,annotated_rdrp,GII.10,,255.0,547.0,True,17.0
PZ177401.1,74.58867,4830.0,5377.0,547.0,GII.P16,,1.0,271.0,annotated_rdrp,GII.4,Could not assign,255.0,547.0,True,17.0
PZ177402.1,79.67033,4830.0,5377.0,547.0,GII.P16,,1.0,271.0,annotated_rdrp,GII.10,,255.0,547.0,True,17.0
PZ177403.1,75.64102,4830.0,5377.0,547.0,GII.P16,,1.0,271.0,annotated_rdrp,GII.4,,255.0,547.0,True,17.0
PZ177404.1,80.03663,4830.0,5377.0,547.0,GII.P16,,1.0,271.0,annotated_rdrp,GII.2,,255.0,547.0,True,17.0
PZ177405.1,80.769226,4830.0,5377.0,547.0,GII.P30,,1.0,271.0,annotated_rdrp,GII.3,,255.0,547.0,True,17.0
PZ189634.1,78.95425,3574.0,5104.0,1530.0,GII.P16,,1.0,1527.0,annotated_rdrp,,,,,False,0.0
PZ193862.1,80.12232,4943.0,5273.0,330.0,GII.P16,,1.0,158.0,annotated_rdrp,GII.4,Sydney_2016,142.0,330.0,True,17.0
PZ193863.1,78.4,4895.0,5273.0,378.0,GII.P16,,1.0,206.0,annotated_rdrp,GII.4,Sydney_2016,190.0,378.0,True,17.0
PZ193866.1,78.48411,4883.0,5294.0,411.0,GII.P16,,1.0,218.0,annotated_rdrp,GII.4,,202.0,411.0,True,17.0
PZ193867.1,78.07882,4883.0,5291.0,408.0,GII.P16,,1.0,218.0,annotated_rdrp,GII.4,,202.0,408.0,True,17.0
PZ193868.1,78.752884,4871.0,5312.0,441.0,GII.P16,,1.0,230.0,annotated_rdrp,GII.4,,214.0,441.0,True,17.0
PZ193870.1,77.906975,4868.0,5300.0,432.0,GII.P16,,1.0,233.0,annotated_rdrp,GII.4,Sydney_2016,217.0,432.0,True,17.0
PZ193871.1,79.82456,4910.0,5258.0,348.0,GII.P16,,1.0,191.0,annotated_rdrp,GII.4,Sydney_2016,175.0,348.0,True,17.0
PZ193872.1,78.76344,4910.0,5294.0,384.0,GII.P16,,1.0,191.0,annotated_rdrp,GII.4,Could not assign,175.0,384.0,True,17.0
PZ193873.1,78.86598,4913.0,5309.0,396.0,GII.P16,,1.0,188.0,annotated_rdrp,GII.4,Could not assign,172.0,396.0,True,17.0
PZ193874.1,78.333336,4910.0,5276.0,366.0,GII.P16,,1.0,191.0,annotated_rdrp,GII.4,,175.0,366.0,True,17.0
PZ193877.1,82.42894,4883.0,5279.0,396.0,GII.P17,,1.0,218.0,annotated_rdrp,GII.17,,202.0,396.0,True,17.0
PZ193878.1,81.92489,4883.0,5323.0,440.0,GII.P17,,1.0,218.0,annotated_rdrp,GII.17,,202.0,440.0,True,17.0
PZ193879.1,82.08955,4886.0,5293.0,407.0,GII.P17,,1.0,215.0,annotated_rdrp,GII.17,,199.0,407.0,True,17.0
PZ193880.1,83.33333,4901.0,5293.0,392.0,GII.P17,,1.0,200.0,annotated_rdrp,GII.17,,184.0,392.0,True,17.0
PZ193881.1,81.3364,4868.0,5303.0,435.0,GII.P17,,1.0,233.0,annotated_rdrp,GII.17,,217.0,435.0,True,17.0
PZ193882.1,83.88747,4910.0,5306.0,396.0,GII.P17,,1.0,191.0,annotated_rdrp,GII.17,,175.0,396.0,True,17.0
PZ193883.1,81.27854,4868.0,5306.0,438.0,GII.P17,,1.0,233.0,annotated_rdrp,GII.17,,217.0,438.0,True,17.0
PZ193884.1,82.85715,4883.0,5276.0,393.0,GII.P17,,1.0,218.0,annotated_rdrp,GII.17,,202.0,393.0,True,17.0
PZ193885.1,82.16867,4883.0,5306.0,423.0,GII.P17,,1.0,218.0,annotated_rdrp,GII.17,,202.0,423.0,True,17.0
PZ193886.1,81.29497,4868.0,5285.0,417.0,GII.P17,,1.0,233.0,annotated_rdrp,GII.17,,217.0,417.0,True,17.0
PZ193887.1,88.76712,4898.0,5270.0,372.0,GII.P7,,1.0,203.0,annotated_rdrp,GII.7,,187.0,372.0,True,17.0
PZ194151.1,78.83721,4871.0,5303.0,432.0,GII.P16,,1.0,230.0,annotated_rdrp,GII.4,,214.0,432.0,True,17.0
PZ194152.1,78.384796,4871.0,5294.0,423.0,GII.P16,,1.0,230.0,annotated_rdrp,GII.4,Sydney_2016,214.0,423.0,True,17.0
