Genome	reverse_primer_1
PZ221915.1	none
PZ221917.1	none
PZ221922.1	none
PZ221927.1	none
PZ234772.1	lin R2-
PZ240487.1	none
PZ240506.1	none
PZ136053.1	none
PZ136058.1	none
PX631121.1	none
PX285872.1	none
PX285874.1	none
PX563327.1	none
PV784272.1	lin R2-
PV784273.1	lin R2-
PV784275.1	lin R2-
PV784277.1	lin R2-
PV784279.1	lin R2-
PV784285.1	lin R2-
PV784287.1	lin R2-
PV784296.1	lin R2-
PV784297.1	lin R2-
PV784298.1	lin R2-
PV784302.1	lin R2-
PV784303.1	lin R2-
PV784304.1	lin R2-
PV784318.1	lin R2-
PV784323.1	lin R2-
PV784324.1	lin R2-
PV784331.1	lin R2-
PV784338.1	lin R2-
PV784344.1	lin R2-
PV784345.1	lin R2-
PV784347.1	lin R2-
PV750877.1	lin R2-
PV750882.1	lin R2-
PV750891.1	lin R2-
PV750894.1	lin R2-
PV765567.1	lin R2-
PV765571.1	lin R2-
PV635313.1	lin R2-
PV275040.1	none
PV275044.1	none
PV275045.1	none
PV275046.1	none
PV275052.1	none
PV275060.1	none
PV275062.1	lin R2-
PQ213436.1	none
PQ213437.1	none
PQ215525.1	none
PQ215528.1	none
PQ215538.1	none
PQ215539.1	none
PQ215540.1	none
PQ215541.1	none
PQ215542.1	none
PQ215543.1	none
PQ215544.1	none
PQ215545.1	none
PQ215546.1	none
PQ215575.1	lin R2-
PQ215578.1	none
PQ215579.1	none
PQ218468.1	lin R2-
PQ273182.1	none
PQ273184.1	none
PQ273185.1	none
PQ273187.1	lin R1-
PQ273190.1	none
PQ273194.1	none
PQ273195.1	none
PQ273196.1	lin R2-
PQ273200.1	none
PQ304610.1	lin R2-
PQ304611.1	lin R2-
PQ304614.1	lin R2-
PQ304633.1	lin R1-
PQ310235.1	lin R2-
PQ310459.1	lin R1-
PQ310518.1	lin R2-
PQ310519.1	lin R2-
PQ310520.1	lin R2-
PQ310521.1	lin R2-
PQ310522.1	lin R2-
PQ373120.1	lin R2-
PQ373121.1	lin R2-
PQ373122.1	lin R2-
PQ373123.1	lin R2-
PQ373124.1	lin R2-
PQ373126.1	lin R2-
PQ373127.1	lin R2-
PQ373131.1	lin R2-
PQ373132.1	lin R2-
PQ373133.1	lin R2-
PQ373138.1	lin R2-
PQ373139.1	lin R2-
PQ373140.1	lin R2-
PQ373142.1	lin R2-
