name,begin,length,end,BLAST,BLAST score,refseq,reverse complement,polymerase type,polymerase type support,polymerase subtype,polymerase subtype support,capsid type,capsid type support,capsid subtype,capsid subtype support
MH218629.1,0,7559,7565,Caliciviridae Norovirus GII,85.10743,NC_029646,False,GII.P31 (GII.Pe),100.0,,,GII.4,100.0,Sydney_2012,98.0
MH218631.1,0,7559,7565,Caliciviridae Norovirus GII,84.8122,NC_029646,False,GII.P31 (GII.Pe),100.0,,,GII.4,100.0,Sydney_2012,99.0
MH218633.1,0,7566,7566,Caliciviridae Norovirus GII,85.152176,NC_029646,False,GII.P4,100.0,New_Orleans_2009,99.0,GII.4,100.0,Sydney_2012,93.0
MH218635.1,0,7559,7565,Caliciviridae Norovirus GII,84.63179,NC_029646,False,GII.P31 (GII.Pe),100.0,,,GII.4,100.0,Could not assign,
MH218637.1,0,7559,7565,Caliciviridae Norovirus GII,84.63179,NC_029646,False,GII.P31 (GII.Pe),100.0,,,GII.4,100.0,Could not assign,
MH218639.1,6,7550,7559,Caliciviridae Norovirus GII,87.39854,NC_029646,False,GII.P7,100.0,,,GII.6,100.0,,
MH218641.1,6,7550,7559,Caliciviridae Norovirus GII,87.09248,NC_029646,False,GII.P7,100.0,,,GII.6,100.0,,
MH218643.1,6,7550,7559,Caliciviridae Norovirus GII,87.491684,NC_029646,False,GII.P7,100.0,,,GII.6,100.0,,
MH218645.1,6,7521,7530,Caliciviridae Norovirus GII,87.85345,NC_029646,False,GII.P7,100.0,,,GII.6,100.0,,
MH218650.1,6,7550,7559,Caliciviridae Norovirus GII,87.23885,NC_029646,False,GII.P7,100.0,,,GII.6,100.0,,
MH218652.1,0,7560,7560,Caliciviridae Norovirus GII,84.96721,NC_029646,False,GII.P4,100.0,New_Orleans_2009,100.0,GII.4,100.0,Could not assign,
MH218654.1,0,7548,7548,Caliciviridae Norovirus GII,81.2374,NC_029646,False,GII.P21 (GII.Pb),100.0,,,GII.3,100.0,,
MH218657.1,0,7497,7497,Caliciviridae Norovirus GII,85.87811,NC_029646,False,GII.P31 (GII.Pe),100.0,,,GII.2,100.0,,
MH218660.1,0,7548,7548,Caliciviridae Norovirus GII,80.91795,NC_029646,False,GII.P21 (GII.Pb),100.0,,,GII.3,100.0,,
MH218662.1,0,7559,7565,Caliciviridae Norovirus GII,84.992615,NC_029646,False,GII.P31 (GII.Pe),100.0,,,GII.4,100.0,Sydney_2012,89.0
MH218665.1,0,7554,7560,Caliciviridae Norovirus GII,84.34152,NC_029646,False,GII.P4,100.0,New_Orleans_2009,100.0,GII.4,100.0,Could not assign,
MH218667.1,6,7521,7530,Caliciviridae Norovirus GII,87.54812,NC_029646,False,GII.P7,100.0,,,GII.6,100.0,,
