accession,rdrp_start,rdrp_end,rdrp_source,vp1_start,vp1_end,has_overlap,overlap
PZ418323.1,3502.0,5031.0,annotated_rdrp,5015.0,6637.0,True,17
PZ336229.1,3546.0,5075.0,annotated_rdrp,5059.0,6675.0,True,17
PZ336226.1,3546.0,5075.0,annotated_rdrp,5059.0,6675.0,True,17
PZ336224.1,3546.0,5075.0,annotated_rdrp,5059.0,6675.0,True,17
PZ336222.1,3546.0,5075.0,annotated_rdrp,5059.0,6675.0,True,17
PZ336220.1,3546.0,5075.0,annotated_rdrp,5059.0,6675.0,True,17
PZ336219.1,3546.0,5075.0,annotated_rdrp,5059.0,6675.0,True,17
PZ336218.1,3537.0,5066.0,annotated_rdrp,5050.0,6672.0,True,17
PZ336215.1,3537.0,5066.0,annotated_rdrp,5050.0,6672.0,True,17
PZ336214.1,3537.0,5066.0,annotated_rdrp,5050.0,6672.0,True,17
PZ336212.1,3546.0,5075.0,annotated_rdrp,5059.0,6675.0,True,17
PZ336211.1,3537.0,5066.0,annotated_rdrp,5050.0,6672.0,True,17
PZ336210.1,3546.0,5075.0,annotated_rdrp,5059.0,6675.0,True,17
PX925260.1,3572.0,5101.0,annotated_rdrp,5085.0,6707.0,True,17
PX925254.1,3572.0,5101.0,annotated_rdrp,5085.0,6707.0,True,17
PX925253.1,3572.0,5101.0,annotated_rdrp,5085.0,6707.0,True,17
PZ240518.1,3567.0,5096.0,annotated_rdrp,5080.0,6687.0,True,17
PZ240517.1,3564.0,5093.0,annotated_rdrp,5077.0,6684.0,True,17
PZ240516.1,3566.0,5095.0,annotated_rdrp,5079.0,6707.0,True,17
PZ240515.1,3566.0,5095.0,annotated_rdrp,5079.0,6707.0,True,17
PZ240514.1,3493.0,5022.0,annotated_rdrp,5006.0,6613.0,True,17
PZ240513.1,3503.0,5032.0,annotated_rdrp,5016.0,6638.0,True,17
PZ240512.1,3526.0,5055.0,annotated_rdrp,5039.0,6667.0,True,17
PZ240511.1,3561.0,5090.0,annotated_rdrp,5074.0,6696.0,True,17
PZ240510.1,3572.0,5101.0,annotated_rdrp,5085.0,6707.0,True,17
PZ240509.1,3561.0,5090.0,annotated_rdrp,5074.0,6696.0,True,17
PZ240508.1,3572.0,5101.0,annotated_rdrp,5085.0,6707.0,True,17
PZ240507.1,3563.0,5092.0,annotated_rdrp,5076.0,6698.0,True,17
PZ240506.1,3569.0,5098.0,annotated_rdrp,5082.0,6704.0,True,17
PZ240505.1,3571.0,5100.0,annotated_rdrp,5084.0,6706.0,True,17
PZ240504.1,3561.0,5090.0,annotated_rdrp,5074.0,6696.0,True,17
PZ240503.1,3572.0,5101.0,annotated_rdrp,5085.0,6707.0,True,17
PZ240502.1,3572.0,5101.0,annotated_rdrp,5085.0,6707.0,True,17
