accession,not_gii,duplicated,ambiguous,missing_required_region
AB067536.1,True,False,False,True
AB067537.1,True,False,False,True
AB067538.1,True,False,False,True
AB067539.1,True,False,False,True
AB067540.1,True,False,False,True
AB067541.1,True,False,False,True
AB067542.1,True,False,False,True
AB067543.1,True,False,False,True
AB220922.1,True,False,False,True
AB220923.1,True,False,False,True
AB541190.1,True,False,False,False
AB541192.1,True,False,False,False
AB541195.1,True,False,False,False
AB541212.1,True,False,False,False
AB541221.1,True,False,False,False
AB541348.1,True,False,False,False
AB983218.1,True,False,False,False
AF414407.1,True,False,False,True
AF414408.1,True,False,False,True
AF414409.1,True,False,False,True
AF414410.1,True,False,False,True
AF414411.1,True,False,False,True
AF414412.1,True,False,False,True
AF414413.1,True,False,False,True
AF414414.1,True,False,False,True
AF414415.1,True,False,False,True
AF414416.1,True,False,False,True
AF414417.1,True,False,False,True
AF414418.1,True,False,False,True
AF414419.1,True,False,False,True
AF414420.1,True,False,False,True
AF414421.1,True,False,False,True
AF414422.1,True,False,False,True
AF414423.1,True,False,False,True
AF414424.1,True,False,False,True
AF414425.1,True,False,False,True
AF539439.1,True,False,False,False
AF539440.1,True,False,False,False
AJ583672.2,True,False,False,True
AY038599.2,True,False,False,True
AY038600.3,True,False,False,True
AY587990.1,True,False,False,True
AY587991.1,True,False,False,True
AY587992.1,True,False,False,True
AY587993.1,True,False,False,True
AY587994.1,True,False,False,True
AY587995.1,True,False,False,True
AY587996.1,True,False,False,True
AY587997.1,True,False,False,True
AY587998.1,True,False,False,True
AY587999.1,True,False,False,True
AY588000.1,True,False,False,True
AY588001.1,True,False,False,True
AY588002.1,True,False,False,True
AY588003.1,True,False,False,True
AY588004.1,True,False,False,True
AY588005.1,True,False,False,True
AY588006.1,True,False,False,True
AY588007.1,True,False,False,True
AY588008.1,True,False,False,True
AY588009.1,True,False,False,True
AY588010.1,True,False,False,True
AY588011.1,True,False,False,True
AY588012.1,True,False,False,True
AY588013.1,True,False,False,True
AY588014.1,True,False,False,True
AY588015.1,True,False,False,True
AY588016.1,True,False,False,True
AY588017.1,True,False,False,True
AY588018.1,True,False,False,True
AY588019.1,True,False,False,True
AY588020.1,True,False,False,True
AY588021.1,True,False,False,True
AY588022.1,True,False,False,True
AY588023.1,True,False,False,True
AY588024.1,True,False,False,True
AY588025.1,True,False,False,True
AY588026.1,True,False,False,True
AY588027.1,True,False,False,True
AY588028.1,True,False,False,True
AY588029.1,True,False,False,True
AY588030.1,True,False,False,True
AY652979.1,True,False,False,False
AY823303.1,True,False,False,False
AY823304.1,True,False,False,False
AY823306.1,True,False,False,False
AY823307.1,True,False,False,False
DQ364459.1,False,False,False,True
DQ379713.1,True,False,False,True
DQ379714.1,True,False,False,True
DQ379715.1,True,False,False,True
EF202567.1,True,False,False,True
EF202568.1,True,False,False,False
EF450827.1,True,False,False,True
EF670649.2,True,False,False,True
EF670650.2,True,False,False,True
EU424333.1,True,False,False,False
EU448333.1,True,False,False,True
HF952129.1,True,False,False,False
HM346627.1,True,False,False,False
KP244313.1,True,False,False,False
KP244314.1,True,False,False,False
KP244315.1,True,False,False,False
KP244316.1,True,False,False,False
KP244317.1,True,False,False,False
KP244318.1,True,False,False,False
KP244319.1,True,False,False,False
KP244320.1,True,False,False,False
KP244321.1,True,False,False,False
KP244322.1,True,False,False,False
KX592170.1,True,False,False,False
KX592171.1,True,False,False,False
KX592172.1,True,False,False,False
LC037415.1,True,False,False,False
LC043167.1,True,False,False,False
LC043168.1,True,False,False,False
LC209431.1,True,False,False,False
LC209432.1,True,False,False,False
LC209433.1,True,False,False,False
LC209434.1,True,False,False,False
LC209435.1,True,False,False,False
LC209436.1,True,False,False,False
LC209437.1,True,False,False,False
LC209438.1,True,False,False,False
LC209440.1,True,False,False,False
LC209441.1,True,False,False,False
LC209444.1,True,False,False,False
