type	seqid	name	start1	stop	strand	mismatch
primer	OX387712.1	forward_primer_var1	40332548	40332569	+	3
primer	OY970750.1	forward_primer_var1	6210516	6210538	+	3
primer	OY970745.1	forward_primer_var1	33731274	33731296	-	3
primer	OY970750.1	forward_primer_var2	6210516	6210538	+	3
primer	OY970746.1	forward_primer_var2	37186314	37186336	+	3
primer	OY970746.1	forward_primer_var2	23440357	23440379	-	3
primer	OY970746.1	forward_primer_var2	57396356	57396378	-	3
primer	OY970745.1	forward_primer_var2	33792236	33792258	+	3
primer	OX387713.1	forward_primer_var2	35453177	35453199	+	3
primer	OY970751.1	forward_primer_var2	21192448	21192470	-	3
primer	OY970752.1	forward_primer_var3	40409329	40409350	-	3
primer	OY970748.1	forward_primer_var3	22224767	22224788	-	3
primer	OY970748.1	forward_primer_var3	54627709	54627730	+	3
primer	OY970748.1	forward_primer_var3	23355906	23355928	-	3
primer	OY970746.1	forward_primer_var3	59148679	59148700	-	3
primer	OY970745.1	forward_primer_var3	6289018	6289039	-	3
primer	OY970745.1	forward_primer_var3	30968495	30968516	+	3
primer	OY970745.1	forward_primer_var3	62795594	62795615	+	3
primer	OX387713.1	forward_primer_var3	29362581	29362603	+	3
primer	OX387710.1	forward_primer_var3	21978185	21978207	-	3
primer	OX387709.1	forward_primer_var3	22595527	22595549	-	3
primer	OY970748.1	forward_primer_var4	23355906	23355928	-	3
primer	OX387713.1	forward_primer_var4	35453177	35453199	+	3
primer	OX387704.1	forward_primer_var4	51342520	51342542	-	3
primer	OX387704.1	forward_primer_var4	51342586	51342608	-	3
primer	OX387704.1	forward_primer_var4	51342778	51342800	-	3
primer	OX387704.1	forward_primer_var4	51342844	51342866	-	3
primer	OX387704.1	forward_primer_var4	51343162	51343184	-	3
primer	OY970754.1	forward_primer_var5	10647468	10647489	-	3
primer	OY970749.1	forward_primer_var5	50439523	50439544	+	3
primer	OY970746.1	forward_primer_var5	57396356	57396378	-	3
primer	OY970746.1	forward_primer_var6	57396356	57396378	-	2
primer	OY970748.1	forward_primer_var7	15667540	15667561	-	3
primer	OY970752.1	forward_primer_var8	32224998	32225020	+	3
primer	OY970746.1	forward_primer_var8	57396356	57396378	-	3
primer	OX387704.1	forward_primer_var8	51342520	51342542	-	3
primer	OX387704.1	forward_primer_var8	51342586	51342608	-	3
primer	OX387704.1	forward_primer_var8	51342778	51342800	-	3
primer	OX387704.1	forward_primer_var8	51342844	51342866	-	3
