accession,not_gii,duplicated,ambiguous,missing_required_region
AB005259.1,True,False,False,True
AB005260.1,True,False,False,True
AB005261.1,True,False,False,True
AB089860.1,True,False,False,True
AB089861.1,True,False,False,True
AB089862.1,True,False,False,True
AB089863.1,True,False,False,True
AB089864.1,True,False,False,True
AB089865.1,True,False,False,True
AB089866.1,True,False,False,True
AB089867.1,True,False,False,True
AB089868.1,True,False,False,True
AB089869.1,True,False,False,True
AB089870.1,True,False,False,True
AB089871.2,True,False,False,True
AB089872.1,True,False,False,True
AB089873.1,True,False,False,True
AB089874.1,True,False,False,True
AB089875.1,True,False,False,True
AB089876.1,True,False,False,True
AB089877.1,True,False,False,True
AB089878.1,True,False,False,True
AB089879.1,True,False,False,True
AB089880.1,True,False,False,True
AB089881.1,True,False,False,True
AB089882.2,True,False,False,False
AB089883.1,True,False,False,True
AB089884.1,True,False,False,True
AB089885.1,True,False,False,True
AB089886.1,True,False,False,True
AB089887.1,True,False,False,True
AB089888.1,True,False,False,True
AB089889.1,True,False,False,True
AB089890.1,True,False,False,True
AB089891.1,True,False,False,True
AB089892.1,True,False,False,True
AB089893.1,True,False,False,True
AB089894.1,True,False,False,True
AB089895.1,True,False,False,True
AB089896.1,True,False,False,True
AB089897.1,True,False,False,True
AB089898.1,True,False,False,True
AB089899.1,True,False,False,True
AB089900.1,True,False,False,True
AB089901.1,True,False,False,True
AB089902.1,True,False,False,True
AB089903.1,True,False,False,True
AB190457.1,True,False,False,True
AB212306.1,True,False,False,True
AB231336.1,True,False,False,True
AB231337.1,True,False,False,True
AB231338.1,True,False,False,True
AB231339.1,True,False,False,True
AB231340.1,True,False,False,True
AB231341.1,True,False,False,True
AB231342.1,True,False,False,True
AB231343.1,True,False,False,True
AB231344.1,True,False,False,True
AB231345.1,True,False,False,True
AB231346.1,True,False,False,True
AB231347.1,True,False,False,True
AB231348.1,True,False,False,True
AB231349.1,True,False,False,True
AB231350.1,True,False,False,True
AB231351.1,True,False,False,True
AB231352.1,True,False,False,True
AB231353.1,True,False,False,True
AB231354.1,True,False,False,True
AB231355.1,True,False,False,True
AB231356.1,True,False,False,True
AB231357.1,True,False,False,True
AB231358.1,True,False,False,True
AB231359.1,True,False,False,True
AB231360.1,True,False,False,True
AB231361.1,True,False,False,True
AB231362.1,True,False,False,True
AB231363.1,True,False,False,True
AB231364.1,True,False,False,True
AB231365.1,True,False,False,True
AB240171.1,True,False,False,True
AB240172.1,True,False,False,True
AB240173.1,True,False,False,True
AB240174.1,True,False,False,True
AB240175.1,True,False,False,True
AB240176.1,True,False,False,True
AB240177.1,True,False,False,True
AB240178.1,True,False,False,True
AB240179.1,True,False,False,True
AB240180.1,True,False,False,True
AB240181.1,True,False,False,True
AB240182.1,True,False,False,True
AB240183.1,True,False,False,True
AB240184.1,True,False,False,True
AB240185.1,True,False,False,True
AB240186.1,True,False,False,True
AB240187.1,True,False,False,True
AB240188.1,True,False,False,True
AB240189.1,True,False,False,True
AB240190.1,True,False,False,True
AB258331.1,True,False,False,False
AB262166.1,True,False,False,True
AB262167.1,True,False,False,True
AB262168.1,True,False,False,True
AB262169.1,True,False,False,True
AB262170.1,True,False,False,True
AB262171.1,True,False,False,True
AB262172.1,True,False,False,True
AB262173.1,True,False,False,True
AB262174.1,True,False,False,True
AB354289.1,True,False,False,True
AB354290.1,True,False,False,True
AB354291.1,True,False,False,True
AB354292.1,True,False,False,True
AB354293.1,True,False,False,True
AB354294.1,True,False,False,True
AB354295.1,True,False,False,True
AB354296.1,True,False,False,True
AB354297.1,True,False,False,True
AB354298.1,True,False,False,True
AB354299.1,True,False,False,True
AB354300.1,True,False,False,True
AB360387.1,True,False,False,False
AB427191.1,True,False,False,True
AB427192.1,True,False,False,True
AB427193.1,True,False,False,True
AB427194.1,True,False,False,True
AB427195.1,True,False,False,True
AB427196.1,True,False,False,True
AB427197.1,True,False,False,True
AB427198.1,True,False,False,True
AB427199.1,True,False,False,True
AB427200.1,True,False,False,True
AB427201.1,True,False,False,True
AB427202.1,True,False,False,True
AB457612.1,True,False,False,True
AB465737.1,True,False,False,True
AB507724.1,True,False,False,True
AB507725.1,True,False,False,True
AB507726.1,True,False,False,True
AB507727.1,True,False,False,True
AB507728.1,True,False,False,True
AB507729.1,True,False,False,True
AB507730.1,True,False,False,True
AB507731.1,True,False,False,True
AB507732.1,True,False,False,True
AB507733.1,True,False,False,True
AB507734.1,True,False,False,True
AB507735.1,True,False,False,True
AB507736.1,True,False,False,True
AB507737.1,True,False,False,True
AB507738.1,True,False,False,True
AB507739.1,True,False,False,True
AB507740.1,True,False,False,True
AB507741.1,True,False,False,True
AB507742.1,True,False,False,True
AB514586.1,True,False,False,True
AB514587.1,True,False,False,True
AB514588.1,True,False,False,True
AB514589.1,True,False,False,True
AB514590.1,True,False,False,True
AB514591.1,True,False,False,True
AB514592.1,True,False,False,True
AB514593.1,True,False,False,True
AB514594.1,True,False,False,True
AB514595.1,True,False,False,True
AB514596.1,True,False,False,True
AB514597.1,True,False,False,True
AB514598.1,True,False,False,True
AB514599.1,True,False,False,True
AB514600.1,True,False,False,True
AB522407.1,True,False,False,True
AB522408.1,True,False,False,True
AB522409.1,True,False,False,True
AB522410.1,True,False,False,True
AB522411.1,True,False,False,True
AB522412.1,True,False,False,True
AB522413.1,True,False,False,True
AB522414.1,True,False,False,True
AB522415.1,True,False,False,True
AB522416.1,True,False,False,True
AB522419.1,True,False,False,True
AB522420.1,True,False,False,True
