accession,BLAST_score,begin,end,length,p_type,p_subtype,rdrp_start,rdrp_end,genotype,genotype_subtype,vp1_start,vp1_end
MH218628.1,84.84501,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218629.1,85.10743,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218630.1,80.93477,0,7542,7542,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218631.1,84.8122,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218632.1,84.992615,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218633.1,85.152176,0,7566,7566,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218634.1,84.63179,0,7566,7560,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218635.1,84.63179,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218636.1,85.152176,0,7566,7566,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218637.1,84.63179,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218638.1,85.12383,0,7565,7559,GII.P31,None,3572.0,5101.0,GII.4,Sydney_2012,5085,6707
MH218639.1,87.39854,6,7559,7550,GII.P7,None,3500.0,5098.0,GII.6,None,5079,6722
MH218640.1,87.65137,6,7559,7550,GII.P7,None,3500.0,5098.0,GII.6,None,5079,6722
MH218641.1,87.09248,6,7559,7550,GII.P7,None,3500.0,5098.0,GII.6,None,5079,6722
MH218642.1,88.00956,6,7533,7524,GII.P7,None,3500.0,5098.0,GII.6,None,5079,6722
MH218643.1,87.491684,6,7559,7550,GII.P7,None,3500.0,5098.0,GII.6,None,5079,6722
MH218644.1,87.41184,6,7559,7550,GII.P7,None,3500.0,5098.0,GII.6,None,5079,6722
MH218645.1,87.85345,6,7530,7521,GII.P7,None,3500.0,5098.0,GII.6,None,5079,6722
MH218646.1,81.119705,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
MH218650.1,87.23885,6,7559,7550,GII.P7,None,3500.0,5098.0,GII.6,None,5079,6722
MH218651.1,81.04918,0,7484,7484,GII.P21,None,3572.0,5101.0,GII.13,None,5085,6713
MH218652.1,84.96721,0,7560,7560,GII.P4,New_Orleans_2009,3572.0,5101.0,GII.4,Could not assign,5085,6707
MH218653.1,81.10289,0,7548,7548,GII.P21,None,3572.0,5101.0,GII.3,None,5085,6731
