name,begin,length,end,BLAST,BLAST score,refseq,reverse complement,polymerase type,polymerase type support,polymerase subtype,polymerase subtype support,capsid type,capsid type support,capsid subtype,capsid subtype support
PZ240514.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,87.944664,NC_029646,False,GII.P33 (GII.Pg),100.0,,,,,,
PV876277.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,76.482216,NC_029646,False,GII.P25,99.0,,,,,,
PV920376.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,75.29644,NC_029646,False,GII.PNA5,100.0,,,,,,
PV920383.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,75.49407,NC_029646,False,GII.P25,100.0,,,,,,
PV920384.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,75.49407,NC_029646,False,GII.P25,99.0,,,,,,
PQ593082.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,76.482216,NC_029646,False,GII.P25,98.0,,,,,,
PQ754429.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,94.29134,NC_029646,False,GII.P8,100.0,,,,,,
PQ273189.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,76.67984,NC_029646,False,Could not assign,,,,,,,
PP645198.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,94.29134,NC_029646,False,GII.P8,100.0,,,,,,
OP811331.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,82.80633,NC_029646,False,GII.P15,100.0,,,,,,
OQ190312.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,76.284584,NC_029646,False,GII.P25,100.0,,,,,,
OP729310.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,83.46457,NC_029646,False,GII.P20,100.0,,,,,,
OP729312.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,83.46457,NC_029646,False,GII.P20,100.0,,,,,,
OP729313.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,83.46457,NC_029646,False,GII.P20,100.0,,,,,,
OP729314.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,83.46457,NC_029646,False,GII.P20,100.0,,,,,,
OP205529.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,75.49407,NC_029646,False,GII.P25,100.0,,,,,,
MZ769127.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,82.21344,NC_029646,False,GII.P2,100.0,,,,,,
MW854326.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,85.177864,NC_029646,False,GII.P33 (GII.Pg),100.0,,,,,,
MZ268406.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,75.691696,NC_029646,False,GII.P40,100.0,,,,,,
MW009069.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,75.88933,NC_029646,False,GII.P40,100.0,,,,,,
MW045405.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.23716,NC_029646,False,GII.P13,99.0,,,,,,
MW305512.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,79.64427,NC_029646,False,GII.P13,100.0,,,,,,
MW305517.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,79.8419,NC_029646,False,GII.P13,100.0,,,,,,
MW305526.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,75.88933,NC_029646,False,GII.PNA2,100.0,,,,,,
MW305533.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,76.08696,NC_029646,False,GII.P40,100.0,,,,,,
MW305537.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,76.08696,NC_029646,False,GII.P40,100.0,,,,,,
MW305572.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,87.99213,NC_029646,False,GII.P39,100.0,,,,,,
MW305573.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,78.543304,NC_029646,False,GII.P36 (GII.Pk),100.0,,,,,,
MW305575.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,88.53755,NC_029646,False,GII.P41 (GII.Pg),100.0,,,,,,
MW305577.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,88.53755,NC_029646,False,GII.P41 (GII.Pg),100.0,,,,,,
MW305578.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,85.177864,NC_029646,False,GII.P30 (GII.Pc),100.0,,,,,,
MW305579.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,85.375496,NC_029646,False,GII.P30 (GII.Pc),100.0,,,,,,
MW305582.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,81.102356,NC_029646,False,GII.P13,79.0,,,,,,
MW305584.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,84.98024,NC_029646,False,GII.P30 (GII.Pc),100.0,,,,,,
MW305591.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.23716,NC_029646,False,GII.P3,100.0,,,,,,
MW305592.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.23716,NC_029646,False,GII.P3,100.0,,,,,,
MW305593.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,87.15415,NC_029646,False,GII.P29 (GII.Pa),100.0,,,,,,
MW305595.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,87.15415,NC_029646,False,GII.P29 (GII.Pa),100.0,,,,,,
MW305596.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,87.15415,NC_029646,False,GII.P29 (GII.Pa),99.0,,,,,,
MW305597.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,87.15415,NC_029646,False,GII.P29 (GII.Pa),100.0,,,,,,
MW305598.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,98.031494,NC_029646,False,GII.P6,100.0,,,,,,
MW305609.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.632416,NC_029646,False,GII.P13,100.0,,,,,,
MW305610.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.83004,NC_029646,False,GII.P13,100.0,,,,,,
MW305612.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,81.62056,NC_029646,False,GII.P2,100.0,,,,,,
MW305622.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,85.77075,NC_029646,False,GII.P33 (GII.Pg),100.0,,,,,,
MW305627.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,82.41107,NC_029646,False,GII.P2,100.0,,,,,,
MW305628.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,85.57313,NC_029646,False,GII.P33 (GII.Pg),100.0,,,,,,
MW305629.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,85.57313,NC_029646,False,GII.P33 (GII.Pg),100.0,,,,,,
MW305640.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,82.80633,NC_029646,False,GII.P2,100.0,,,,,,
MW305641.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,82.80633,NC_029646,False,GII.P2,100.0,,,,,,
MW305650.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.23716,NC_029646,False,GII.P3,100.0,,,,,,
MW305657.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,86.561264,NC_029646,False,GII.P34 (GII.Ph),100.0,,,,,,
MW305658.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.23716,NC_029646,False,GII.P5,100.0,,,,,,
MW305660.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,79.8419,NC_029646,False,GII.P13,100.0,,,,,,
MW305676.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,86.36364,NC_029646,False,GII.P33 (GII.Pg),100.0,,,,,,
MW305695.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,75.3937,NC_029646,False,GII.P22,96.0,,,,,,
MW305696.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,87.99213,NC_029646,False,GII.P39,100.0,,,,,,
MW305697.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,87.99213,NC_029646,False,GII.P39,100.0,,,,,,
MW305702.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,86.36364,NC_029646,False,GII.P33 (GII.Pg),100.0,,,,,,
MW305703.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,85.96838,NC_029646,False,GII.P33 (GII.Pg),100.0,,,,,,
MW305705.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,86.36364,NC_029646,False,GII.P33 (GII.Pg),100.0,,,,,,
MW305725.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.03953,NC_029646,False,GII.P3,100.0,,,,,,
MW305726.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.434784,NC_029646,False,GII.P3,100.0,,,,,,
MW305727.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.23716,NC_029646,False,GII.P3,100.0,,,,,,
MW305728.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.23716,NC_029646,False,GII.P3,100.0,,,,,,
MW305729.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,89.76378,NC_029646,False,GII.PNA3,100.0,,,,,,
MW305731.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.632416,NC_029646,False,GII.P3,100.0,,,,,,
MW305732.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.632416,NC_029646,False,GII.P3,100.0,,,,,,
MW305733.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.632416,NC_029646,False,GII.P3,100.0,,,,,,
MW305734.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,80.83004,NC_029646,False,GII.P3,100.0,,,,,,
MW305739.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,94.88189,NC_029646,False,GII.P6,100.0,,,,,,
MT707683.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,82.21344,NC_029646,False,GII.P15,100.0,,,,,,
MN996298.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,94.48819,NC_029646,False,GII.P8,100.0,,,,,,
MT218322.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,82.21344,NC_029646,False,GII.P2,100.0,,,,,,
MT242487.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,84.98024,NC_029646,False,GII.P33 (GII.Pg),100.0,,,,,,
MT242490.1_region_1022_1530,4594,508,5102,Caliciviridae Norovirus GII,85.57313,NC_029646,False,GII.P33 (GII.Pg),100.0,,,,,,
