"name","begin","length","end","BLAST","BLAST score","refseq","reverse complement","polymerase type","polymerase type support","polymerase subtype","polymerase subtype support","capsid type","capsid type support","capsid subtype","capsid subtype support"
"PZ240517.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","92.71137","NC_029646","false","","","","","GII.12","100.0","",""
"PZ240518.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","92.12828","NC_029646","false","","","","","GII.12","100.0","",""
"PZ143332.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","84.5481","NC_029646","false","","","","","GII.9","100.0","",""
"PX733033.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","96.209915","NC_029646","false","","","","","GII.8","100.0","",""
"PX353865.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","83.67347","NC_029646","false","","","","","GII.9","100.0","",""
"PX458519.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","80.46648","NC_029646","false","","","","","GII.21","100.0","",""
"PX458533.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","84.5481","NC_029646","false","","","","","GII.16","100.0","",""
"PX458541.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","78.42566","NC_029646","false","","","","","GII.10","100.0","",""
"PV843154.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","76.96793","NC_029646","false","","","","","GII.20","100.0","",""
"PQ610214.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","80.46648","NC_029646","false","","","","","GII.21","100.0","",""
"PQ740331.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","92.41983","NC_029646","false","","","","","GII.12","100.0","",""
"PQ754429.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","95.04373","NC_029646","false","","","","","GII.8","100.0","",""
"PV394759.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","83.38193","NC_029646","false","","","","","GII.16","100.0","",""
"PV394760.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","83.38193","NC_029646","false","","","","","GII.16","100.0","",""
"PV394761.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","83.38193","NC_029646","false","","","","","GII.16","100.0","",""
"PV394762.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","83.38193","NC_029646","false","","","","","GII.16","100.0","",""
"PV394763.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","83.38193","NC_029646","false","","","","","GII.16","100.0","",""
"PV394766.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","83.38193","NC_029646","false","","","","","GII.16","100.0","",""
"PV394767.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","83.38193","NC_029646","false","","","","","GII.16","100.0","",""
"PV394768.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","83.38193","NC_029646","false","","","","","GII.16","100.0","",""
"PQ273189.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","77.84256","NC_029646","false","","","","","GII.22","99.0","",""
"PP645198.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","94.75219","NC_029646","false","","","","","GII.8","100.0","",""
"OR512564.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","92.12828","NC_029646","false","","","","","GII.12","100.0","",""
"OQ682536.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","77.259476","NC_029646","false","","","","","GII.20","100.0","",""
"OP811331.1_region_0_346","5085","346","5428","Caliciviridae Norovirus GII","73.4104","NC_029646","false","","","","","GIX.1 (GII.15)","100.0","",""
"OP729310.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","76.676384","NC_029646","false","","","","","GII.20","100.0","",""
"OP729312.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","76.676384","NC_029646","false","","","","","GII.20","100.0","",""
"OP729313.1_region_0_343","5085","343","5428","Caliciviridae Norovirus GII","76.676384","NC_029646","false","","","","","GII.20","100.0","",""
