accession,BLAST_score,begin,end,length,p_type,p_subtype,rdrp_start,rdrp_end,rdrp_source,genotype,genotype_subtype,vp1_start,vp1_end,has_overlap,overlap
PV784297.1,75.95745,0.0,7534.0,7540.0,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784296.1,75.95745,0.0,7549.0,7555.0,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784287.1,75.77741,0.0,7549.0,7555.0,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784285.1,75.84288,0.0,7549.0,7555.0,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784279.1,75.90835,0.0,7543.0,7549.0,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784277.1,75.87562,0.0,7549.0,7555.0,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784275.1,75.84288,0.0,7549.0,7555.0,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784273.1,75.859245,0.0,7549.0,7555.0,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784272.1,75.94108,0.0,7549.0,7555.0,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PX563327.1,75.942696,0.0,7573.0,7567.0,GII.P16,,3572.0,5101.0,annotated_rdrp,GII.4,Sydney_2016,5085.0,6707.0,True,17.0
PX285874.1,75.85586,0.0,7573.0,7567.0,GII.P16,,3572.0,5101.0,annotated_rdrp,GII.4,Sydney_2016,5085.0,6707.0,True,17.0
PX285872.1,76.41185,0.0,7538.0,7538.0,GII.P16,,3572.0,5101.0,annotated_rdrp,GII.2,,5085.0,6713.0,True,17.0
PX631121.1,75.708435,0.0,7576.0,7570.0,GII.P16,,3572.0,5101.0,annotated_rdrp,GII.4,Sydney_2016,5085.0,6707.0,True,17.0
PZ136058.1,81.29303,0.0,7542.0,7542.0,GII.P21,,3572.0,5101.0,annotated_rdrp,GII.3,,5085.0,6731.0,True,17.0
PZ136053.1,81.29303,0.0,7542.0,7542.0,GII.P21,,3572.0,5101.0,annotated_rdrp,GII.3,,5085.0,6731.0,True,17.0
PZ240506.1,75.614555,0.0,7563.0,7554.0,GII.P16,,3569.0,5098.0,annotated_rdrp,GII.4,Sydney_2016,5082.0,6704.0,True,17.0
GU292831.4,76.53088,0.0,7550.0,7577.0,GII.P16,,3566.0,5095.0,annotated_rdrp,GII.16,,5079.0,6701.0,True,17.0
HM596590.4,75.44232,0.0,7524.0,7536.0,GII.P16,,3569.0,5098.0,annotated_rdrp,GII.5,,5082.0,6704.0,True,17.0
KF944111.3,76.264915,1.0,7558.0,7554.0,GII.P16,,3500.0,5100.0,polyprotein_fallback,GII.3,,5081.0,6727.0,True,20.0
KF944110.2,76.28172,1.0,7552.0,7548.0,GII.P16,,3500.0,5100.0,polyprotein_fallback,GII.3,,5081.0,6727.0,True,20.0
KF920739.4,77.44022,0.0,7568.0,7580.0,GII.P16,,3569.0,5098.0,annotated_rdrp,GII.16,,5082.0,6704.0,True,17.0
KF895841.2,76.34897,1.0,7555.0,7551.0,GII.P16,,3500.0,5100.0,polyprotein_fallback,GII.3,,5081.0,6727.0,True,20.0
KT779557.1,76.16807,0.0,7552.0,7549.0,GII.P16,,3500.0,5101.0,polyprotein_fallback,GII.3,,5082.0,6728.0,True,20.0
KX586330.1,85.238335,4.0,7519.0,7509.0,GII.P31,,3500.0,5100.0,polyprotein_fallback,GII.4,Sydney_2012,5081.0,6703.0,True,20.0
KY210980.3,75.77854,4.0,7587.0,7577.0,GII.P16,,3568.0,5097.0,annotated_rdrp,GII.4,Sydney_2016,5081.0,6703.0,True,17.0
KY210920.3,76.893364,0.0,7509.0,7506.0,GII.P16,,3569.0,5098.0,annotated_rdrp,GII.13,,5082.0,6710.0,True,17.0
KY496327.1,85.28784,0.0,7586.0,7580.0,GII.P31,,3500.0,5104.0,polyprotein_fallback,GII.4,Sydney_2012,5085.0,6707.0,True,20.0
KY905331.1,84.253914,-1.0,7551.0,7546.0,GII.P4,New_Orleans_2009,3500.0,5105.0,polyprotein_fallback,GII.4,Could not assign,5086.0,6708.0,True,20.0
LC369258.1,75.74355,54.0,7535.0,7484.0,GII.P17,,3500.0,5056.0,polyprotein_fallback,GII.17,,5037.0,6659.0,True,20.0
LC369257.1,75.70705,5.0,7589.0,7590.0,GII.P17,,3500.0,5108.0,polyprotein_fallback,GII.17,,5089.0,6711.0,True,20.0
LC369256.1,75.7893,10.0,7559.0,7555.0,GII.P17,,3500.0,5103.0,polyprotein_fallback,GII.17,,5084.0,6706.0,True,20.0
LC369255.1,75.82202,10.0,7592.0,7588.0,GII.P17,,3500.0,5103.0,polyprotein_fallback,GII.17,,5084.0,6706.0,True,20.0
LC369254.1,75.86151,0.0,7541.0,7547.0,GII.P17,,3500.0,5113.0,polyprotein_fallback,GII.17,,5094.0,6716.0,True,20.0
LC369253.1,75.78586,15.0,7555.0,7546.0,GII.P17,,3500.0,5098.0,polyprotein_fallback,GII.17,,5079.0,6701.0,True,20.0
LC369252.1,75.78586,15.0,7554.0,7545.0,GII.P17,,3500.0,5098.0,polyprotein_fallback,GII.17,,5079.0,6701.0,True,20.0
LC369251.1,75.077835,15.0,7536.0,7539.0,GII.P17,,3500.0,5098.0,polyprotein_fallback,GII.17,,5079.0,6695.0,True,20.0
