accession,BLAST_score,begin,end,length,p_type,p_subtype,rdrp_start,rdrp_end,rdrp_source,genotype,genotype_subtype,vp1_start,vp1_end,has_overlap,overlap
PX925253.1,,,,,,,3572.0,5101.0,annotated_rdrp,,,5085.0,6707.0,True,17.0
PX925254.1,,,,,,,3572.0,5101.0,annotated_rdrp,,,5085.0,6707.0,True,17.0
PX925260.1,,,,,,,3572.0,5101.0,annotated_rdrp,,,5085.0,6707.0,True,17.0
PZ240476.1,,,,,,,3569.0,5098.0,annotated_rdrp,,,5082.0,6704.0,True,17.0
PZ240478.1,,,,,,,3569.0,5098.0,annotated_rdrp,,,5082.0,6704.0,True,17.0
PZ240480.1,,,,,,,3569.0,5098.0,annotated_rdrp,,,5082.0,6704.0,True,17.0
PZ240490.1,,,,,,,3572.0,5101.0,annotated_rdrp,,,5085.0,6707.0,True,17.0
PZ240501.1,,,,,,,3568.0,5097.0,annotated_rdrp,,,5081.0,6703.0,True,17.0
PZ240503.1,,,,,,,3572.0,5101.0,annotated_rdrp,,,5085.0,6707.0,True,17.0
PZ240505.1,,,,,,,3571.0,5100.0,annotated_rdrp,,,5084.0,6706.0,True,17.0
PZ240508.1,,,,,,,3572.0,5101.0,annotated_rdrp,,,5085.0,6707.0,True,17.0
PZ240510.1,,,,,,,3572.0,5101.0,annotated_rdrp,,,5085.0,6707.0,True,17.0
PZ234762.1,,,,,,,3581.0,5110.0,annotated_rdrp,,,5094.0,6716.0,True,17.0
PZ234769.1,,,,,,,3581.0,5110.0,annotated_rdrp,,,5094.0,6716.0,True,17.0
PZ234775.1,,,,,,,3581.0,5110.0,annotated_rdrp,,,5094.0,6716.0,True,17.0
PZ234778.1,,,,,,,3577.0,5106.0,annotated_rdrp,,,5090.0,6706.0,True,17.0
PZ234781.1,,,,,,,3577.0,5106.0,annotated_rdrp,,,5090.0,6706.0,True,17.0
PZ234782.1,,,,,,,3577.0,5106.0,annotated_rdrp,,,5090.0,6706.0,True,17.0
PZ234788.1,,,,,,,3577.0,5106.0,annotated_rdrp,,,5090.0,6706.0,True,17.0
PZ234790.1,,,,,,,3577.0,5106.0,annotated_rdrp,,,5090.0,6706.0,True,17.0
PZ234794.1,,,,,,,3577.0,5106.0,annotated_rdrp,,,5090.0,6706.0,True,17.0
PZ234811.1,,,,,,,3577.0,5106.0,annotated_rdrp,,,5090.0,6706.0,True,17.0
PZ234812.1,,,,,,,3577.0,5106.0,annotated_rdrp,,,5090.0,6706.0,True,17.0
PZ234825.1,,,,,,,3577.0,5106.0,annotated_rdrp,,,5090.0,6706.0,True,17.0
PZ221916.1,,,,,,,3571.0,5100.0,annotated_rdrp,,,5084.0,6730.0,True,17.0
PZ221918.1,,,,,,,3570.0,5099.0,annotated_rdrp,,,5083.0,6729.0,True,17.0
PZ221919.1,,,,,,,3568.0,5097.0,annotated_rdrp,,,5081.0,6727.0,True,17.0
PZ221924.1,,,,,,,3570.0,5099.0,annotated_rdrp,,,5083.0,6729.0,True,17.0
PZ221925.1,,,,,,,3568.0,5097.0,annotated_rdrp,,,5081.0,6727.0,True,17.0
PZ221928.1,,,,,,,3570.0,5099.0,annotated_rdrp,,,5083.0,6729.0,True,17.0
PZ221929.1,,,,,,,3570.0,5099.0,annotated_rdrp,,,5083.0,6729.0,True,17.0
PZ221930.1,,,,,,,3568.0,5097.0,annotated_rdrp,,,5081.0,6727.0,True,17.0
PZ136054.1,81.28674,2,7542,7540,GII.P21,None,3570.0,5099.0,annotated_rdrp,GII.3,None,5083.0,6729.0,True,17.0
PZ136057.1,81.28674,2,7542,7540,GII.P21,None,3570.0,5099.0,annotated_rdrp,GII.3,None,5083.0,6729.0,True,17.0
PZ059667.1,75.859245,0,7511,7517,GII.P17,None,3581.0,5110.0,annotated_rdrp,GII.17,None,5094.0,6710.0,True,17.0
PZ059668.1,75.859245,0,7511,7517,GII.P17,None,3581.0,5110.0,annotated_rdrp,GII.17,None,5094.0,6710.0,True,17.0
