accession,BLAST_score,begin,end,length,p_type,p_subtype,rdrp_start,rdrp_end,rdrp_source,genotype,genotype_subtype,vp1_start,vp1_end,has_overlap,overlap
PZ043826.1,71.20658,26,7618,7595,,None,3500.0,5042.0,polyprotein_fallback,,None,5026.0,6762.0,True,17
LC919492.1,75.82868,16,7534,7524,GII.P17,None,3500.0,5097.0,polyprotein_fallback,GII.17,None,5084.0,6694.0,True,14
LC868426.1,75.83265,15,7504,7495,GII.P17,None,3500.0,5098.0,polyprotein_fallback,GII.17,None,5079.0,6695.0,True,20
LC868427.1,75.87734,12,7501,7495,GII.P17,None,3500.0,5101.0,polyprotein_fallback,GII.17,None,5082.0,6698.0,True,20
LC868428.1,75.85302,14,7504,7496,GII.P17,None,3500.0,5099.0,polyprotein_fallback,GII.17,None,5080.0,6696.0,True,20
LC868429.1,75.885826,14,7496,7488,GII.P17,None,3500.0,5099.0,polyprotein_fallback,GII.17,None,5080.0,6696.0,True,20
LC868430.1,75.885826,14,7501,7493,GII.P17,None,3500.0,5099.0,polyprotein_fallback,GII.17,None,5080.0,6696.0,True,20
LC868431.1,75.885826,14,7501,7493,GII.P17,None,3500.0,5099.0,polyprotein_fallback,GII.17,None,5080.0,6696.0,True,20
LC868432.1,75.661026,21,7501,7486,GII.P17,None,3500.0,5092.0,polyprotein_fallback,GII.17,None,5073.0,6689.0,True,20
LC868433.1,75.84962,19,7501,7488,GII.P17,None,3500.0,5094.0,polyprotein_fallback,GII.17,None,5075.0,6691.0,True,20
LC868434.1,75.85302,14,7501,7493,GII.P17,None,3500.0,5099.0,polyprotein_fallback,GII.17,None,5080.0,6696.0,True,20
LC868435.1,75.64102,26,7511,7491,GII.P17,None,3500.0,5087.0,polyprotein_fallback,GII.17,None,5068.0,6684.0,True,20
LC868436.1,75.90223,14,7505,7497,GII.P17,None,3500.0,5099.0,polyprotein_fallback,GII.17,None,5080.0,6696.0,True,20
LC868437.1,75.87734,12,7505,7499,GII.P17,None,3500.0,5101.0,polyprotein_fallback,GII.17,None,5082.0,6698.0,True,20
LC868438.1,75.87453,21,7499,7484,GII.P17,None,3500.0,5092.0,polyprotein_fallback,GII.17,None,5073.0,6689.0,True,20
LC373449.1,85.174225,13,7555,7536,GII.P31,None,3500.0,5091.0,polyprotein_fallback,GII.4,Sydney_2012,5072.0,6694.0,True,20
LC373450.1,87.36015,20,7550,7527,GII.P7,None,3500.0,5084.0,polyprotein_fallback,GII.6,None,5065.0,6708.0,True,20
LC373451.1,87.308975,25,7587,7559,GII.P7,None,3500.0,5079.0,polyprotein_fallback,GII.6,None,5060.0,6703.0,True,20
LC769681.1,84.6798,9,7575,7563,GII.P31,None,3500.0,5095.0,polyprotein_fallback,GII.4,Could not assign,5076.0,6701.0,True,20
LC769682.1,76.27375,7,7571,7564,GII.P16,None,3500.0,5097.0,polyprotein_fallback,GII.3,None,5078.0,6724.0,True,20
LC769683.1,75.68459,11,7575,7558,GII.P16,None,3500.0,5093.0,polyprotein_fallback,GII.4,Sydney_2016,5074.0,6696.0,True,20
LC769684.1,75.65605,14,7558,7538,GII.P16,None,3500.0,5090.0,polyprotein_fallback,GII.4,Sydney_2016,5071.0,6693.0,True,20
LC769688.1,75.70983,11,7582,7565,GII.P16,None,3500.0,5093.0,polyprotein_fallback,GII.4,Sydney_2016,5074.0,6696.0,True,20
LC769689.1,76.36272,10,7552,7542,GII.P16,None,3500.0,5094.0,polyprotein_fallback,GII.3,None,5075.0,6721.0,True,20
LC769691.1,75.62304,14,7578,7558,GII.P16,None,3500.0,5090.0,polyprotein_fallback,GII.4,Sydney_2016,5071.0,6693.0,True,20
LC769692.1,75.693985,21,7574,7547,GII.P16,None,3500.0,5083.0,polyprotein_fallback,GII.4,Sydney_2016,5064.0,6686.0,True,20
LC769693.1,75.712166,10,7559,7543,GII.P16,None,3500.0,5094.0,polyprotein_fallback,GII.4,Sydney_2016,5075.0,6697.0,True,20
LC769695.1,75.746086,8,7562,7548,GII.P16,None,3500.0,5096.0,polyprotein_fallback,GII.4,Sydney_2016,5077.0,6699.0,True,20
LC769696.1,75.726074,13,7578,7559,GII.P16,None,3500.0,5091.0,polyprotein_fallback,GII.4,Sydney_2016,5072.0,6694.0,True,20
LC769698.1,75.71311,8,7561,7547,GII.P16,None,3500.0,5096.0,polyprotein_fallback,GII.4,Sydney_2016,5077.0,6699.0,True,20
LC769699.1,75.62148,37,7565,7522,GII.P16,None,3500.0,5067.0,polyprotein_fallback,GII.4,Sydney_2016,5048.0,6670.0,True,20
LC769701.1,84.42947,17,7587,7567,GII.P31,None,3500.0,5087.0,polyprotein_fallback,GII.4,Could not assign,5068.0,6693.0,True,20
LC769702.1,77.13642,12,7518,7521,GII.P16,None,3500.0,5092.0,polyprotein_fallback,GII.16,None,5073.0,6695.0,True,20
LC769703.1,76.71486,10,7480,7470,GII.P16,None,3500.0,5094.0,polyprotein_fallback,GII.13,None,5075.0,6703.0,True,20
