type	seqid	name	start1	stop	strand	mismatch
primer	PQ304632.1	reverse_primer_6	5416	5434	-	1
primer	PQ304613.1	reverse_primer_6	5420	5438	-	1
primer	PQ304612.1	reverse_primer_6	5420	5438	-	1
primer	PQ310236.1	reverse_primer_6	5420	5438	-	1
primer	PQ310234.1	reverse_primer_6	5420	5438	-	1
primer	PQ310131.1	reverse_primer_6	5424	5442	-	1
primer	PQ310130.1	reverse_primer_6	5424	5442	-	1
primer	PQ310129.1	reverse_primer_6	5424	5442	-	1
primer	PQ310128.1	reverse_primer_6	5424	5442	-	1
primer	PQ310127.1	reverse_primer_6	5424	5442	-	1
primer	PQ310126.1	reverse_primer_6	5424	5442	-	1
primer	PQ310124.1	reverse_primer_6	5424	5442	-	1
primer	PQ308689.1	reverse_primer_6	5420	5438	-	1
primer	PQ308687.1	reverse_primer_6	5420	5438	-	1
primer	PQ308686.1	reverse_primer_6	5420	5438	-	1
primer	PQ308685.1	reverse_primer_6	5420	5438	-	1
primer	PQ308684.1	reverse_primer_6	5424	5442	-	1
primer	OP805361.1	reverse_primer_6	5424	5442	-	1
primer	OP805360.1	reverse_primer_6	5424	5442	-	1
primer	PQ373146.1	reverse_primer_6	5420	5438	-	1
primer	PQ373145.1	reverse_primer_6	5420	5438	-	1
primer	PQ373144.1	reverse_primer_6	5420	5438	-	1
primer	PQ373143.1	reverse_primer_6	5420	5438	-	1
primer	PQ373141.1	reverse_primer_6	5420	5438	-	1
primer	PQ373137.1	reverse_primer_6	5420	5438	-	1
primer	PQ373136.1	reverse_primer_6	5420	5438	-	1
primer	PQ373135.1	reverse_primer_6	5420	5438	-	1
primer	PQ373134.1	reverse_primer_6	5420	5438	-	1
primer	PQ373130.1	reverse_primer_6	5420	5438	-	1
primer	PQ373125.1	reverse_primer_6	5420	5438	-	1
primer	PQ373119.1	reverse_primer_6	5423	5441	-	1
primer	PQ641315.1	reverse_primer_6	5447	5465	-	1
primer	PQ215526.1	reverse_primer_6	5411	5429	-	1
primer	PQ215524.1	reverse_primer_6	5411	5429	-	1
primer	PQ208329.1	reverse_primer_6	5411	5429	-	1
primer	PQ208328.1	reverse_primer_6	5411	5429	-	1
primer	PQ208327.1	reverse_primer_6	5411	5429	-	1
primer	PQ208323.1	reverse_primer_6	5411	5429	-	1
primer	PQ208322.1	reverse_primer_6	5411	5429	-	1
primer	PQ208321.1	reverse_primer_6	5411	5429	-	1
primer	PQ208320.1	reverse_primer_6	5411	5429	-	1
primer	PQ208319.1	reverse_primer_6	5411	5429	-	1
primer	PQ208316.1	reverse_primer_6	5411	5429	-	1
primer	PQ195907.1	reverse_primer_6	5411	5429	-	1
primer	PQ195906.1	reverse_primer_6	5415	5433	-	1
primer	PQ195897.1	reverse_primer_6	5411	5429	-	1
primer	PQ195896.1	reverse_primer_6	5411	5429	-	1
primer	PQ482380.1	reverse_primer_6	5420	5438	-	1
primer	PQ482379.1	reverse_primer_6	5420	5438	-	1
primer	PV784280.1	reverse_primer_6	5424	5442	-	1
primer	PV784278.1	reverse_primer_6	5420	5438	-	1
primer	PV750898.1	reverse_primer_6	5421	5439	-	1
primer	PV750886.1	reverse_primer_6	5420	5438	-	1
primer	OR793084.1	reverse_primer_6	5420	5438	-	1
primer	OR793083.1	reverse_primer_6	5420	5438	-	1
primer	KY947549.1	reverse_primer_6	5414	5432	-	1
primer	KY947548.1	reverse_primer_6	5411	5429	-	1
primer	MW009072.1	reverse_primer_6	5450	5468	-	1
primer	MW009068.1	reverse_primer_6	5450	5468	-	1
primer	LC597126.1	reverse_primer_6	5402	5420	-	1
primer	LC597113.1	reverse_primer_6	5402	5420	-	1
primer	LC597112.1	reverse_primer_6	5424	5442	-	1
primer	LC597111.1	reverse_primer_6	5405	5423	-	1
primer	OR700742.1	reverse_primer_6	5411	5429	-	1
primer	OR713748.1	reverse_primer_6	5411	5429	-	1
primer	PQ196568.1	reverse_primer_6	5415	5433	-	1
primer	PQ196566.1	reverse_primer_6	5411	5429	-	1
