"name","begin","length","end","BLAST","BLAST score","refseq","reverse complement","polymerase type","polymerase type support","polymerase subtype","polymerase subtype support","capsid type","capsid type support","capsid subtype","capsid subtype support"
"PZ240517.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","94.210526","NC_029646","false","","","","","GII.12","99.0","",""
"PZ240518.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","94.210526","NC_029646","false","","","","","GII.12","98.0","",""
"PZ143332.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","87.36842","NC_029646","false","","","","","GII.9","100.0","",""
"PX733033.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","97.368416","NC_029646","false","","","","","GII.8","100.0","",""
"PX353865.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","86.31579","NC_029646","false","","","","","GII.9","100.0","",""
"PX458519.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","83.1579","NC_029646","false","","","","","GII.21","100.0","",""
"PX458533.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","87.958115","NC_029646","false","","","","","GII.16","100.0","",""
"PX458541.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","80.0","NC_029646","false","","","","","GII.10","100.0","",""
"PV843154.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","80.0","NC_029646","false","","","","","GII.20","100.0","",""
"PQ610214.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","83.1579","NC_029646","false","","","","","GII.21","100.0","",""
"PQ740331.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","94.73685","NC_029646","false","","","","","GII.12","99.0","",""
"PQ754429.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","97.368416","NC_029646","false","","","","","GII.8","100.0","",""
"PV394759.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","87.36842","NC_029646","false","","","","","GII.16","100.0","",""
"PV394760.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","87.36842","NC_029646","false","","","","","GII.16","100.0","",""
"PV394761.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","87.36842","NC_029646","false","","","","","GII.16","100.0","",""
"PV394762.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","87.36842","NC_029646","false","","","","","GII.16","100.0","",""
"PV394763.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","87.36842","NC_029646","false","","","","","GII.16","100.0","",""
"PV394766.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","87.36842","NC_029646","false","","","","","GII.16","100.0","",""
"PV394767.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","87.36842","NC_029646","false","","","","","GII.16","100.0","",""
"PV394768.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","87.36842","NC_029646","false","","","","","GII.16","100.0","",""
"PQ273189.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","82.72251","NC_029646","false","","","","","GII.22","99.0","",""
"PP645198.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","95.26316","NC_029646","false","","","","","GII.8","99.0","",""
"OR512564.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","94.73685","NC_029646","false","","","","","GII.12","98.0","",""
"OQ682536.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","78.94737","NC_029646","false","","","","","GII.20","100.0","",""
"OP811331.1_region_0_194","5049","194","5240","Caliciviridae Norovirus GIV","74.09326","NC_029647","false","","","","","","","",""
"OP729310.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","80.10471","NC_029646","false","","","","","GII.20","100.0","",""
"OP729312.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","80.10471","NC_029646","false","","","","","GII.20","100.0","",""
"OP729313.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","80.10471","NC_029646","false","","","","","GII.20","100.0","",""
"OP729314.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","80.10471","NC_029646","false","","","","","GII.20","100.0","",""
"MZ769126.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","94.73685","NC_029646","false","","","","","GII.12","100.0","",""
"MZ769132.1_region_0_191","5085","191","5276","Caliciviridae Norovirus GII","87.958115","NC_029646","false","","","","","GII.16","100.0","",""
