accession,not_gii,partial,under_length_threshold,duplicated,not_annotated,ambiguous
AB045603.2,True,False,False,False,False,False
AB083780.1,True,False,False,False,False,False
AB083781.1,True,False,False,False,False,False
AB084071.1,True,False,False,False,False,False
AB933644.1,True,False,False,False,False,False
AB933645.1,True,False,False,False,False,False
AB933646.1,True,False,False,False,False,False
AB933647.1,True,False,False,False,False,False
AB933648.1,True,False,False,False,False,False
AB933649.1,True,False,False,False,False,False
AB933650.1,True,False,False,False,False,False
AB933651.1,True,False,False,False,False,False
AB933652.1,True,False,False,False,False,False
AB933653.1,True,False,False,False,False,False
AB933654.1,True,False,False,False,False,False
AB933655.1,True,False,False,False,False,False
AB933656.1,True,False,False,False,False,False
AB933657.1,True,False,False,False,False,False
AB933658.1,True,False,False,False,False,False
AB933659.1,True,False,False,False,False,False
AB933660.1,True,False,False,False,False,False
AB933661.1,True,False,False,False,False,False
AB933662.1,True,False,False,False,False,False
AB933663.1,True,False,False,False,False,False
AB933664.1,True,False,False,False,False,False
AB933665.1,True,False,False,False,False,False
AB933666.1,True,False,False,False,False,False
AB933667.1,True,False,False,False,False,False
AB933668.1,True,False,False,False,False,False
AB933669.1,True,False,False,False,False,False
AB933670.1,True,False,False,False,False,False
AB933671.1,True,False,False,False,False,False
AB933672.1,True,False,False,False,False,False
AB933673.1,True,False,False,False,False,False
AB933674.1,True,False,False,False,False,False
AB933675.1,True,False,False,False,False,False
AB933676.1,True,False,False,False,False,False
AB933677.1,True,False,False,False,False,False
AB933678.1,True,False,False,False,False,False
AB933679.1,True,False,False,False,False,False
AB933680.1,True,False,False,False,False,False
AB933681.1,True,False,False,False,False,False
AB933682.1,True,False,False,False,False,False
AB933683.1,True,False,False,False,False,False
AB933684.1,True,False,False,False,False,False
AB933685.1,True,False,False,False,False,False
AB933686.1,True,False,False,False,False,False
AB933687.1,True,False,False,False,False,False
AB933688.1,True,False,False,False,False,False
AB933689.1,True,False,False,False,False,False
AB933690.1,True,False,False,False,False,False
AB933691.1,True,False,False,False,False,False
AB933692.1,True,False,False,False,False,False
AB933693.1,True,False,False,False,False,False
