accession,BLAST_score,begin,end,length,p_type,p_subtype,rdrp_start,rdrp_end,rdrp_source,genotype,genotype_subtype,vp1_start,vp1_end,has_overlap,overlap
PZ169340.1,75.42017,4837.0,5345.0,508,GII.P16,None,1.0,264.0,annotated_rdrp,GII.4,None,248.0,508.0,True,17.0
PZ169341.1,82.397,4837.0,5371.0,534,Could,None,1.0,264.0,annotated_rdrp,GII.4,Could not assign,248.0,534.0,True,17.0
PZ169342.1,82.20974,4837.0,5371.0,534,Could,None,1.0,264.0,annotated_rdrp,GII.4,None,248.0,534.0,True,17.0
PZ169343.1,82.397,4837.0,5371.0,534,Could,None,1.0,264.0,annotated_rdrp,GII.4,Could not assign,248.0,534.0,True,17.0
PZ169344.1,93.445694,4837.0,5371.0,534,GII.P7,None,1.0,264.0,annotated_rdrp,GII.6,None,248.0,534.0,True,17.0
PZ169345.1,82.397,4837.0,5371.0,534,Could,None,1.0,264.0,annotated_rdrp,GII.4,Could not assign,248.0,534.0,True,17.0
PZ169346.1,81.51751,4837.0,5358.0,521,GII.P31,None,1.0,264.0,annotated_rdrp,GII.4,None,248.0,521.0,True,17.0
PZ169347.1,82.20974,4837.0,5371.0,534,Could,None,1.0,264.0,annotated_rdrp,GII.4,None,248.0,534.0,True,17.0
PZ169348.1,82.25508,4828.0,5369.0,541,GII.P31,None,1.0,273.0,annotated_rdrp,GII.4,None,257.0,541.0,True,17.0
PZ169349.1,80.0,4837.0,5355.0,518,GII.P17,None,1.0,264.0,annotated_rdrp,GII.17,None,248.0,518.0,True,17.0
PZ169350.1,78.78788,4837.0,5367.0,530,GII.P17,None,1.0,264.0,annotated_rdrp,GII.17,None,248.0,530.0,True,17.0
PZ169351.1,72.983116,4837.0,5370.0,533,GII.P16,None,1.0,264.0,annotated_rdrp,GII.4,None,248.0,533.0,True,17.0
PZ169352.1,93.668526,4837.0,5374.0,537,GII.P7,None,1.0,264.0,annotated_rdrp,GII.6,None,248.0,537.0,True,17.0
PZ169353.1,82.20974,4837.0,5371.0,534,GII.P31,None,1.0,264.0,annotated_rdrp,GII.4,None,248.0,534.0,True,17.0
PZ169354.1,82.30913,4837.0,5374.0,537,GII.P31,None,1.0,264.0,annotated_rdrp,GII.4,Could not assign,248.0,537.0,True,17.0
PZ169355.1,,,,,,,1.0,264.0,annotated_rdrp,,,248.0,537.0,True,17.0
PZ169356.1,79.3621,4837.0,5370.0,533,GII.P17,None,1.0,264.0,annotated_rdrp,GII.17,None,248.0,533.0,True,17.0
PZ169357.1,86.206894,4837.0,5359.0,522,GII.P7,None,1.0,264.0,annotated_rdrp,GII.14,None,248.0,522.0,True,17.0
PZ169358.1,94.00749,4837.0,5371.0,534,GII.P7,None,1.0,264.0,annotated_rdrp,GII.6,None,248.0,534.0,True,17.0
PZ169359.1,94.00749,4837.0,5371.0,534,GII.P7,None,1.0,264.0,annotated_rdrp,GII.6,None,248.0,534.0,True,17.0
PZ169360.1,94.04097,4837.0,5374.0,537,GII.P7,None,1.0,264.0,annotated_rdrp,GII.6,None,248.0,537.0,True,17.0
PZ169361.1,94.00749,4837.0,5371.0,534,GII.P7,None,1.0,264.0,annotated_rdrp,GII.6,None,248.0,534.0,True,17.0
PZ169362.1,78.48101,4836.0,5391.0,555,Could,None,1.0,265.0,annotated_rdrp,GII.17,None,249.0,555.0,True,17.0
PZ169363.1,82.23062,4838.0,5367.0,529,GII.P31,None,1.0,263.0,annotated_rdrp,GII.4,None,247.0,529.0,True,17.0
PZ169364.1,80.52209,4837.0,5340.0,503,GII.P17,None,1.0,264.0,annotated_rdrp,GII.17,None,248.0,503.0,True,17.0
PZ169365.1,82.26415,4837.0,5367.0,530,Could,None,1.0,264.0,annotated_rdrp,GII.4,None,248.0,530.0,True,17.0
PZ169366.1,93.90476,4839.0,5366.0,527,GII.P7,None,1.0,262.0,annotated_rdrp,GII.6,None,246.0,527.0,True,17.0
PZ169367.1,,,,,,,1.0,264.0,annotated_rdrp,,,248.0,524.0,True,17.0
PZ169368.1,94.22719,4837.0,5374.0,537,GII.P7,None,1.0,264.0,annotated_rdrp,GII.6,None,248.0,537.0,True,17.0
PZ169369.1,86.96498,4837.0,5355.0,518,GII.P7,None,1.0,264.0,annotated_rdrp,GII.9,None,248.0,518.0,True,17.0
PZ169370.1,,,,,,,1.0,262.0,annotated_rdrp,,,246.0,529.0,True,17.0
PZ169371.1,,,,,,,1.0,263.0,annotated_rdrp,,,247.0,519.0,True,17.0
PZ169372.1,86.02362,4837.0,5346.0,509,GII.P7,None,1.0,264.0,annotated_rdrp,GII.9,None,248.0,509.0,True,17.0
PZ169373.1,80.715706,4832.0,5340.0,508,GII.P17,None,1.0,269.0,annotated_rdrp,GII.17,None,253.0,508.0,True,17.0
PZ169374.1,77.53223,4837.0,5377.0,543,GII.P15,None,1.0,264.0,annotated_rdrp,GIX.1 (GII.15),None,248.0,543.0,True,17.0
PZ169375.1,,,,,,,1.0,264.0,annotated_rdrp,,,248.0,534.0,True,17.0
PZ169376.1,79.69052,4816.0,5338.0,522,Could,None,1.0,285.0,annotated_rdrp,GII.17,None,269.0,522.0,True,17.0
PZ169377.1,82.80633,4838.0,5344.0,506,Could,None,1.0,263.0,annotated_rdrp,GII.4,None,247.0,506.0,True,17.0
PZ169378.1,81.037926,4837.0,5342.0,505,GII.P17,None,1.0,264.0,annotated_rdrp,GII.17,None,248.0,505.0,True,17.0
PZ169379.1,74.53184,4836.0,5370.0,534,GII.P16,None,1.0,265.0,annotated_rdrp,GII.4,None,249.0,534.0,True,17.0
PZ169380.1,82.62549,4839.0,5362.0,523,Could,None,1.0,262.0,annotated_rdrp,GII.4,None,246.0,523.0,True,17.0
PZ169381.1,,,,,,,1.0,264.0,annotated_rdrp,,,248.0,534.0,True,17.0
