accession,not_gii,under_length_threshold,duplicated,ambiguous
AB039775.1,True,False,False,False
AB039776.1,True,False,False,False
AB039777.1,True,False,False,False
AB039778.1,True,False,False,False
AB039779.1,True,False,False,False
AB039780.1,True,False,False,False
AB039781.1,True,False,False,False
AB039782.1,True,False,False,False
AB044366.2,True,False,False,False
AB220921.1,True,False,False,False
AB365435.1,True,False,False,False
AB447427.1,True,False,False,False
AB447428.1,True,False,False,False
AB447429.1,True,False,False,False
AB447430.1,True,False,False,False
AB447431.1,True,False,False,False
AB447432.1,True,False,False,False
AB447433.1,True,False,False,False
AB447434.1,True,False,False,False
AB447435.1,True,False,False,False
AB447436.1,True,False,False,False
AB447437.1,True,False,False,False
AB447438.1,True,False,False,False
AB447439.1,True,False,False,False
AB447440.1,True,False,False,False
AB447441.1,True,False,False,False
AB447442.1,True,False,False,False
AB447443.1,True,False,False,False
AB447444.1,True,False,False,False
AB447445.1,True,False,False,False
AB447446.1,True,False,False,False
AB447447.1,True,False,False,False
AB447448.1,True,False,False,False
AB447449.1,True,False,False,False
AB447450.1,True,False,False,False
AB447451.1,True,False,False,False
AB447452.1,True,False,False,False
AB447453.1,True,False,False,False
AB447454.1,True,False,False,False
AB447455.1,True,False,False,False
AB447456.2,True,False,False,False
AB447457.1,True,False,False,False
AB447458.1,True,False,False,False
AB447459.1,True,False,False,False
AB447460.1,True,False,False,False
AB447461.1,True,False,False,False
AB447462.1,True,False,False,False
AB447463.1,True,False,False,False
AB541201.1,True,False,False,False
AB541202.1,True,False,False,False
AB541203.1,True,False,False,False
AB541204.1,True,False,False,False
AB541205.1,True,False,False,False
AB541206.1,True,False,False,False
AB541207.1,True,False,False,False
AB541208.1,True,False,False,False
AB541209.1,True,False,False,False
AB541210.1,True,False,False,False
AB541211.1,True,False,False,False
AB541213.1,True,False,False,False
AB541214.1,True,False,False,False
AB541215.1,True,False,False,False
AB541216.1,True,False,False,False
AB541217.1,True,False,False,False
AB541218.1,True,False,False,False
AB541219.1,True,False,False,False
AB541220.1,True,False,False,False
AB541222.1,True,False,False,False
AB541224.1,True,False,False,False
AB541225.1,True,False,False,False
AB541226.1,True,False,False,False
AB541227.1,True,False,False,False
AB541228.1,True,False,False,False
AB541229.1,True,False,False,False
AB541230.1,True,False,False,False
AB541231.1,True,False,False,False
AB541232.1,True,False,False,False
AB541233.1,True,False,False,False
AB541234.1,True,False,False,False
AB541235.1,True,False,False,False
AB541236.1,True,False,False,False
AB541237.1,True,False,False,False
AB541238.1,True,False,False,False
AB541239.1,True,False,False,False
AB541240.1,True,False,False,False
AB541241.1,True,False,False,False
AB541242.1,True,False,False,False
AB541243.1,True,False,False,False
AB541245.1,True,False,False,False
AB541246.1,True,False,False,False
AB541247.1,True,False,False,False
AB541248.1,True,False,False,False
AB541249.1,True,False,False,False
AB541250.1,True,False,False,False
AB541251.1,True,False,False,False
AB541252.1,True,False,False,False
AB541253.1,True,False,False,False
AB541254.1,True,False,False,False
AB541255.1,True,False,False,False
AB541256.1,True,False,False,False
AB541257.1,True,False,False,False
AB541260.1,True,False,False,False
AB541261.1,True,False,False,False
AB541262.1,True,False,False,False
AB541263.1,True,False,False,False
AB541264.1,True,False,False,False
AB541265.1,True,False,False,False
AB541266.1,True,False,False,False
AB541267.1,True,False,False,False
AB541268.1,True,False,False,False
AB541269.1,True,False,False,False
AB541271.1,True,False,False,False
AB541272.1,True,False,False,False
AB541273.1,True,False,False,False
AB541274.1,True,False,False,False
AB541275.1,True,False,False,False
AB541276.1,True,False,False,False
AB541278.1,True,False,False,False
AB541279.1,True,False,False,False
AB541280.1,True,False,False,False
AB541281.1,True,False,False,False
AB541282.1,True,False,False,False
AB541283.1,True,False,False,False
AB541284.1,True,False,False,False
AB541285.1,True,False,False,False
AB541286.1,True,False,False,False
AB541287.1,True,False,False,False
AB541288.1,True,False,False,False
AB541289.1,True,False,False,False
AB541290.1,True,False,False,False
AB541291.1,True,False,False,False
AB541292.1,True,False,False,False
AB541293.1,True,False,False,False
AB541294.1,True,False,False,False
AB541295.1,True,False,False,False
AB541296.1,True,False,False,False
AB541297.1,True,False,False,False
AB541298.1,True,False,False,False
AB541299.1,True,False,False,False
AB541301.1,True,False,False,False
AB541302.1,True,False,False,False
AB541303.1,True,False,False,False
AB541304.1,True,False,False,False
AB541305.1,True,False,False,False
AB541306.1,True,False,False,False
AB541307.1,True,False,False,False
AB541308.1,True,False,False,False
AB541309.1,True,False,False,False
AB541310.1,True,False,False,False
AB541311.1,True,False,False,False
AB541312.1,True,False,False,False
AB541313.1,True,False,False,False
AB541314.1,True,False,False,False
AB541315.1,True,False,False,False
AB541316.1,True,False,False,False
AB541317.1,True,False,False,False
AB541318.1,True,False,False,False
AB541319.1,True,False,False,False
AB541320.1,True,False,False,False
AB541321.1,True,False,False,False
AB541322.1,True,False,False,False
AB541323.1,True,False,False,False
AB541325.1,True,False,False,False
AB541326.1,True,False,False,False
AB541327.1,True,False,False,False
AB541328.1,True,False,False,False
AB541329.1,True,False,False,False
AB541330.1,True,False,False,False
AB541331.1,True,False,False,False
AB541332.1,True,False,False,False
AB541333.1,True,False,False,False
AB541334.1,True,False,False,False
AB541335.1,True,False,False,False
AB541336.1,True,False,False,False
AB541337.1,True,False,False,False
AB541338.1,True,False,False,False
AB541339.1,True,False,False,False
AB541340.1,True,False,False,False
AB541341.1,True,False,False,False
AB541342.1,True,False,False,False
AB541343.1,True,False,False,False
AB541344.1,True,False,False,False
AB541345.1,True,False,False,False
AB541346.1,True,False,False,False
AB541347.1,True,False,False,False
AB541349.1,True,False,False,False
AB541350.1,True,False,False,False
AB541351.1,True,False,False,False
AB541352.1,True,False,False,False
AB541353.1,True,False,False,False
AB541354.1,True,False,False,False
AB541355.1,True,False,False,False
AB541356.1,True,False,False,False
AB541357.1,True,False,False,False
AB541358.1,True,False,False,False
AB541359.1,True,False,False,False
AB541360.1,True,False,False,False
AB541361.1,True,False,False,False
AB543808.1,True,False,False,False
AB972465.1,True,False,False,False
AB972466.1,True,False,False,False
AB972467.1,True,False,False,False
AB972468.1,True,False,False,False
AB972469.1,True,False,False,False
AB972470.1,True,False,False,False
AB972471.1,True,False,False,False
AB972472.1,True,False,False,False
AB972473.1,True,False,False,False
AB972474.1,True,False,False,False
AB972475.1,True,False,False,False
AB972476.1,True,False,False,False
AB972477.1,True,False,False,False
AB972478.1,True,False,False,False
AB972479.1,True,False,False,False
AB972480.1,True,False,False,False
AB972481.1,True,False,False,False
AB972482.1,True,False,False,False
AB972483.1,True,False,False,False
AB972484.1,True,False,False,False
AB972485.1,True,False,False,False
AB972486.1,True,False,False,False
AB972487.1,True,False,False,False
AB972488.1,True,False,False,False
AB972489.1,True,False,False,False
AB972490.1,True,False,False,False
AB972491.1,True,False,False,False
AB972492.1,True,False,False,False
AB972493.1,True,False,False,False
AB972494.1,True,False,False,False
AB972495.1,True,False,False,False
AB972496.1,True,False,False,False
AB972497.1,True,False,False,False
AB972498.1,True,False,False,False
AB972499.1,True,False,False,False
AB972500.1,True,False,False,False
AB972501.1,True,False,False,False
AB972502.1,True,False,False,False
AB972503.1,True,False,False,False
AB972504.1,True,False,False,False
AB972505.1,True,False,False,False
AF145896.1,True,False,False,False
AF504671.2,True,False,False,False
AY032605.1,True,False,False,False
AY237415.2,True,False,False,False
AY581254.1,True,False,False,False
AY587983.1,True,False,False,False
AY587984.1,True,False,False,False
AY587985.1,True,False,False,False
AY587986.1,True,False,False,False
AY587987.1,True,False,False,False
AY587988.1,True,False,False,False
AY587989.1,True,False,False,False
AY741811.1,True,False,False,False
AY823305.2,True,False,False,False
DQ078814.2,True,False,False,False
DQ369797.1,True,False,False,False
DQ415279.1,True,False,False,False
DQ456824.1,True,False,False,False
