accession,BLAST_score,begin,end,length,p_type,p_subtype,rdrp_start,rdrp_end,rdrp_source,genotype,genotype_subtype,vp1_start,vp1_end,has_overlap,overlap
MK762746.1,75.9058,1,7569,7562,GII.P16,,3571.0,5100.0,annotated_rdrp,GII.4,Sydney_2016,5084.0,6706.0,True,17.0
AB447445.1,84.15936,2,7516,7511,GII.P4,Den_Haag_2006b,3500.0,5102.0,polyprotein_fallback,GII.4,Den_Haag_2006b,5083.0,6705.0,True,20.0
AB541312.1,84.73659,4,7519,7509,GII.P4,Apeldoorn_2007,3500.0,5100.0,polyprotein_fallback,GII.4,Apeldoorn_2007,5081.0,6703.0,True,20.0
PV784296.1,75.95745,0,7549,7555,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784287.1,75.77741,0,7549,7555,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784285.1,75.84288,0,7549,7555,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784279.1,75.90835,0,7543,7549,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784277.1,75.87562,0,7549,7555,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784275.1,75.84288,0,7549,7555,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784273.1,75.859245,0,7549,7555,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PV784272.1,75.94108,0,7549,7555,GII.P17,,3581.0,5110.0,annotated_rdrp,GII.17,,5094.0,6710.0,True,17.0
PX563327.1,75.942696,0,7573,7567,GII.P16,,3572.0,5101.0,annotated_rdrp,GII.4,Sydney_2016,5085.0,6707.0,True,17.0
PX285874.1,75.85586,0,7573,7567,GII.P16,,3572.0,5101.0,annotated_rdrp,GII.4,Sydney_2016,5085.0,6707.0,True,17.0
PX285872.1,76.41185,0,7538,7538,GII.P16,,3572.0,5101.0,annotated_rdrp,GII.2,,5085.0,6713.0,True,17.0
PX631121.1,75.708435,0,7576,7570,GII.P16,,3572.0,5101.0,annotated_rdrp,GII.4,Sydney_2016,5085.0,6707.0,True,17.0
PZ136058.1,81.29303,0,7542,7542,GII.P21,,3572.0,5101.0,annotated_rdrp,GII.3,,5085.0,6731.0,True,17.0
PZ136053.1,81.29303,0,7542,7542,GII.P21,,3572.0,5101.0,annotated_rdrp,GII.3,,5085.0,6731.0,True,17.0
PZ240506.1,75.614555,0,7563,7554,GII.P16,,3569.0,5098.0,annotated_rdrp,GII.4,Sydney_2016,5082.0,6704.0,True,17.0
GU292831.4,76.53088,0,7550,7577,GII.P16,,3566.0,5095.0,annotated_rdrp,GII.16,,5079.0,6701.0,True,17.0
HM596590.4,75.44232,0,7524,7536,GII.P16,,3569.0,5098.0,annotated_rdrp,GII.5,,5082.0,6704.0,True,17.0
KF944111.3,76.264915,1,7558,7554,GII.P16,,3500.0,5100.0,polyprotein_fallback,GII.3,,5081.0,6727.0,True,20.0
KF944110.2,76.28172,1,7552,7548,GII.P16,,3500.0,5100.0,polyprotein_fallback,GII.3,,5081.0,6727.0,True,20.0
KF920739.4,77.44022,0,7568,7580,GII.P16,,3569.0,5098.0,annotated_rdrp,GII.16,,5082.0,6704.0,True,17.0
KF895841.2,76.34897,1,7555,7551,GII.P16,,3500.0,5100.0,polyprotein_fallback,GII.3,,5081.0,6727.0,True,20.0
KT779557.1,76.16807,0,7552,7549,GII.P16,,3500.0,5101.0,polyprotein_fallback,GII.3,,5082.0,6728.0,True,20.0
KX586330.1,85.238335,4,7519,7509,GII.P31,,3500.0,5100.0,polyprotein_fallback,GII.4,Sydney_2012,5081.0,6703.0,True,20.0
