name,begin,length,end,BLAST,BLAST score,refseq,reverse complement,polymerase type,polymerase type support,polymerase subtype,polymerase subtype support,capsid type,capsid type support,capsid subtype,capsid subtype support
PZ221915.1_region_4389_5205,4389,816,5205,Caliciviridae Norovirus GII,84.19753,NC_029646,False,GII.P21 (GII.Pb),100.0,,,GII.3,100.0,,
PZ234772.1_region_4389_5205,4380,816,5196,Caliciviridae Norovirus GII,78.40491,NC_029646,False,GII.P17,100.0,,,GII.17,100.0,,
PZ240487.1_region_4389_5205,4392,816,5208,Caliciviridae Norovirus GII,77.90123,NC_029646,False,GII.P16,100.0,,,GII.4,100.0,Sydney_2016,87.0
PX631121.1_region_4389_5205,4389,816,5205,Caliciviridae Norovirus GII,78.14815,NC_029646,False,GII.P16,100.0,,,GII.4,100.0,Sydney_2016,75.0
PX285872.1_region_4389_5205,4389,816,5205,Caliciviridae Norovirus GII,79.62963,NC_029646,False,GII.P16,100.0,,,GII.2,100.0,,
PX285874.1_region_4389_5205,4389,816,5205,Caliciviridae Norovirus GII,78.27161,NC_029646,False,GII.P16,100.0,,,GII.4,100.0,Could not assign,
PV784272.1_region_4389_5205,4380,816,5196,Caliciviridae Norovirus GII,79.484024,NC_029646,False,GII.P17,100.0,,,GII.17,97.0,,
PV784273.1_region_4389_5205,4380,816,5196,Caliciviridae Norovirus GII,79.484024,NC_029646,False,GII.P17,100.0,,,GII.17,95.0,,
PV784303.1_region_4389_5205,4380,816,5196,Caliciviridae Norovirus GII,79.238335,NC_029646,False,GII.P17,100.0,,,GII.17,97.0,,
PV635313.1_region_4389_5205,4380,816,5196,Caliciviridae Norovirus GII,78.2822,NC_029646,False,GII.P17,100.0,,,GII.17,95.0,,
PV275040.1_region_4389_5205,4389,816,5205,Caliciviridae Norovirus GII,86.419754,NC_029646,False,GII.P31 (GII.Pe),100.0,,,GII.4,100.0,Could not assign,
PV275046.1_region_4389_5205,4389,816,5205,Caliciviridae Norovirus GII,86.4365,NC_029646,False,GII.P31 (GII.Pe),100.0,,,GII.4,100.0,Could not assign,
PV275062.1_region_4389_5205,4371,816,5187,Caliciviridae Norovirus GII,86.24078,NC_029646,False,GII.P4,100.0,New_Orleans_2009,99.0,GII.4,100.0,Could not assign,
PQ213436.1_region_4389_5205,4389,816,5205,Caliciviridae Norovirus GII,86.543205,NC_029646,False,GII.P4,100.0,Den_Haag_2006b,90.0,GII.4,100.0,Could not assign,
