accession,rdrp_start,rdrp_end,rdrp_source,vp1_start,vp1_end,has_overlap,overlap
PZ163996.1,1.0,216.0,annotated_rdrp,200.0,422.0,True,17
PZ163997.1,1.0,189.0,annotated_rdrp,173.0,381.0,True,17
PZ163998.1,1.0,221.0,annotated_rdrp,205.0,425.0,True,17
PZ163999.1,1.0,218.0,annotated_rdrp,202.0,387.0,True,17
PZ164000.1,1.0,181.0,annotated_rdrp,165.0,375.0,True,17
PZ164001.1,1.0,160.0,annotated_rdrp,144.0,248.0,True,17
PZ164002.1,1.0,216.0,annotated_rdrp,200.0,411.0,True,17
PZ164003.1,1.0,209.0,annotated_rdrp,193.0,395.0,True,17
PZ164004.1,1.0,206.0,annotated_rdrp,190.0,399.0,True,17
PZ164005.1,1.0,219.0,annotated_rdrp,203.0,411.0,True,17
PZ164006.1,1.0,192.0,annotated_rdrp,176.0,371.0,True,17
PZ164007.1,1.0,181.0,annotated_rdrp,165.0,270.0,True,17
PZ164008.1,1.0,208.0,annotated_rdrp,192.0,420.0,True,17
PZ164009.1,1.0,208.0,annotated_rdrp,192.0,414.0,True,17
PZ164010.1,1.0,218.0,annotated_rdrp,202.0,429.0,True,17
PZ164012.1,1.0,218.0,annotated_rdrp,202.0,410.0,True,17
PZ164013.1,1.0,218.0,annotated_rdrp,202.0,410.0,True,17
PZ164015.1,1.0,221.0,annotated_rdrp,205.0,425.0,True,17
PZ169338.1,1.0,264.0,annotated_rdrp,248.0,534.0,True,17
PZ169339.1,1.0,264.0,annotated_rdrp,248.0,507.0,True,17
PZ169340.1,1.0,264.0,annotated_rdrp,248.0,508.0,True,17
PZ169341.1,1.0,264.0,annotated_rdrp,248.0,534.0,True,17
PZ169342.1,1.0,264.0,annotated_rdrp,248.0,534.0,True,17
PZ169343.1,1.0,264.0,annotated_rdrp,248.0,534.0,True,17
PZ169344.1,1.0,264.0,annotated_rdrp,248.0,534.0,True,17
PZ169345.1,1.0,264.0,annotated_rdrp,248.0,534.0,True,17
PZ169346.1,1.0,264.0,annotated_rdrp,248.0,521.0,True,17
PZ169347.1,1.0,264.0,annotated_rdrp,248.0,534.0,True,17
PZ169348.1,1.0,273.0,annotated_rdrp,257.0,541.0,True,17
PZ169349.1,1.0,264.0,annotated_rdrp,248.0,518.0,True,17
PZ169350.1,1.0,264.0,annotated_rdrp,248.0,530.0,True,17
PZ169351.1,1.0,264.0,annotated_rdrp,248.0,533.0,True,17
PZ169352.1,1.0,264.0,annotated_rdrp,248.0,537.0,True,17
PZ169353.1,1.0,264.0,annotated_rdrp,248.0,534.0,True,17
PZ169354.1,1.0,264.0,annotated_rdrp,248.0,537.0,True,17
PZ169355.1,1.0,264.0,annotated_rdrp,248.0,537.0,True,17
PZ169356.1,1.0,264.0,annotated_rdrp,248.0,533.0,True,17
PZ169357.1,1.0,264.0,annotated_rdrp,248.0,522.0,True,17
PZ169358.1,1.0,264.0,annotated_rdrp,248.0,534.0,True,17
PZ169359.1,1.0,264.0,annotated_rdrp,248.0,534.0,True,17
PZ169360.1,1.0,264.0,annotated_rdrp,248.0,537.0,True,17
PZ169361.1,1.0,264.0,annotated_rdrp,248.0,534.0,True,17
PZ169362.1,1.0,265.0,annotated_rdrp,249.0,555.0,True,17
PZ169363.1,1.0,263.0,annotated_rdrp,247.0,529.0,True,17
PZ169364.1,1.0,264.0,annotated_rdrp,248.0,503.0,True,17
PZ169365.1,1.0,264.0,annotated_rdrp,248.0,530.0,True,17
PZ169366.1,1.0,262.0,annotated_rdrp,246.0,527.0,True,17
PZ169367.1,1.0,264.0,annotated_rdrp,248.0,524.0,True,17
PZ169368.1,1.0,264.0,annotated_rdrp,248.0,537.0,True,17
PZ169369.1,1.0,264.0,annotated_rdrp,248.0,518.0,True,17
PZ169370.1,1.0,262.0,annotated_rdrp,246.0,529.0,True,17
PZ169371.1,1.0,263.0,annotated_rdrp,247.0,519.0,True,17
PZ169372.1,1.0,264.0,annotated_rdrp,248.0,509.0,True,17
PZ169373.1,1.0,269.0,annotated_rdrp,253.0,508.0,True,17
PZ169374.1,1.0,264.0,annotated_rdrp,248.0,543.0,True,17
PZ169375.1,1.0,264.0,annotated_rdrp,248.0,534.0,True,17
PZ169376.1,1.0,285.0,annotated_rdrp,269.0,522.0,True,17
PZ169377.1,1.0,263.0,annotated_rdrp,247.0,506.0,True,17
PZ169378.1,1.0,264.0,annotated_rdrp,248.0,505.0,True,17
PZ169379.1,1.0,265.0,annotated_rdrp,249.0,534.0,True,17
PZ169380.1,1.0,262.0,annotated_rdrp,246.0,523.0,True,17
PZ169381.1,1.0,264.0,annotated_rdrp,248.0,534.0,True,17
PZ169382.1,1.0,265.0,annotated_rdrp,249.0,523.0,True,17
PZ169383.1,1.0,264.0,annotated_rdrp,248.0,533.0,True,17
PZ169384.1,1.0,264.0,annotated_rdrp,248.0,527.0,True,17
PZ169385.1,1.0,264.0,annotated_rdrp,248.0,536.0,True,17
PZ169386.1,1.0,267.0,annotated_rdrp,251.0,506.0,True,17
PZ176369.1,3862.0,5391.0,annotated_rdrp,5378.0,7015.0,True,14
PZ177377.1,1.0,268.0,annotated_rdrp,252.0,544.0,True,17
PZ177378.1,1.0,270.0,annotated_rdrp,254.0,546.0,True,17
PZ177379.1,1.0,264.0,annotated_rdrp,248.0,540.0,True,17
PZ177380.1,1.0,269.0,annotated_rdrp,253.0,542.0,True,17
PZ177381.1,1.0,270.0,annotated_rdrp,254.0,543.0,True,17
PZ177382.1,1.0,270.0,annotated_rdrp,254.0,540.0,True,17
PZ177383.1,1.0,270.0,annotated_rdrp,254.0,540.0,True,17
PZ177384.1,1.0,270.0,annotated_rdrp,254.0,545.0,True,17
PZ177385.1,1.0,270.0,annotated_rdrp,254.0,543.0,True,17
PZ177386.1,1.0,271.0,annotated_rdrp,255.0,547.0,True,17
PZ177387.1,1.0,271.0,annotated_rdrp,255.0,544.0,True,17
PZ177388.1,1.0,269.0,annotated_rdrp,253.0,542.0,True,17
PZ177389.1,1.0,270.0,annotated_rdrp,254.0,546.0,True,17
PZ177390.1,1.0,269.0,annotated_rdrp,253.0,545.0,True,17
