Genome	forward_primer_var1	forward_primer_var2	forward_primer_var3	forward_primer_var4	forward_primer_var5	forward_primer_var6	forward_primer_var7	forward_primer_var8	reverse_primer_var1,reverse_primer_var5	reverse_primer_var1,reverse_primer_var7	reverse_primer_var2	reverse_primer_var3	reverse_primer_var4,reverse_primer_var4	reverse_primer_var6	reverse_primer_var8
OX387704.1	none	none	none	lin R3-	none	none	none	lin R3-	lin R3-	lin F3+	none	lin F3+	lin F3+	none	none
OX387705.1	none	none	none	none	none	none	none	none	lin F2+ F3+	lin R3-	lin R3-	lin F3+	lin R3-	lin F3+	lin F3+
OX387706.1	none	none	none	none	none	none	none	none	lin F3+	lin F3+	lin R3-	lin R3-	lin F3+	lin R3-	lin R3-
OX387707.1	none	none	none	none	none	none	none	none	lin F3+	lin R3-	lin R2-	lin F3+	lin R3-	lin R3-	lin F3+
OX387708.1	none	none	none	none	none	none	none	none	lin R3-	lin R3-	lin F3+	lin F3+	none	lin R3-	lin R3-
OX387709.1	none	none	lin R3-	none	none	none	none	none	lin R3-	lin R2-	lin R3-	lin R3-	lin R3-	lin R3-	lin R3-
OX387710.1	none	none	lin R3-	none	none	none	none	none	lin F3+	lin F3+	lin F3+	lin R3-	lin R3-	none	none
OX387711.1	none	none	none	none	none	none	none	none	lin R3-	lin R3-	none	none	none	lin R3-	lin F3+
OX387712.1	lin F3+	none	none	none	none	none	none	none	lin F3+	lin R3-	lin R3-	lin F3+	lin F3+	lin R3-	lin F3+
OX387713.1	none	lin F3+	lin F3+	none	none	none	none	none	lin R3-	lin R2-	lin R3-	lin R3-	lin F3+	none	lin F3+
CANOQP010000001.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000002.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000003.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000004.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000005.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000006.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000007.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000008.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000009.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000010.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000011.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000012.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000013.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000014.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000015.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
CANOQP010000016.1	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
